source_page,extracted_table_index,column_1,column_2,column_3,column_4
8,1,297,Bronchoscopy with foreign body (FB) removal,2438,2804
8,1,298,Other Major Surgery,15000,17250
8,1,299,Other Minor Surgery,8500,10000
8,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
8,1,300,Ear Lobe Repair one side,500,575
8,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,4000,4600
8,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,3800,4370
8,1,303,Partial Amputation of Pinna,4500,5175
8,1,304,Total Amputation of Pinna,6200,7130
8,1,305,Total Amputation & Excision of External Auditory Meatus,1500,1725
8,1,306,Excision of Cystic Hygroma,5175,5951
8,1,307,Excision of Cystic Hygroma Extensive,7452,8570
8,1,308,Excision of Branchial Cyst,10350,11903
8,1,309,Excision of Branchial Sinus,10350,11903
8,1,310,Excision of Pharyngeal Diverticulum,10580,12167
8,1,311,Excision of Carotid Body-Tumours,11615,13357
8,1,312,Operation for Cervical Rib,12500,14375
8,1,313,Block Dissection of Cervical Lymph Nodes,15000,17250
8,1,314,Pharyngectomy & Reconstruction,15000,17250
8,1,315,Operation for Carcinoma Lip - Wedge-Excision,8050,9258
8,1,316,Operation for Carcinoma Lip - Vermilionectomy,5758,6622
8,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,9292,10686
8,1,318,Estlander Operation (Estlander flap in plastic surgey of lips),7475,8596
8,1,319,Abbe Operation (Abbe flap in plastic surgery of lips),9800,11270
8,1,320,Cheek Advancement,9775,11241
8,1,321,Excision of the Maxilla,19320,22218
9,1,322,Excision of mandible-segmental,15525,17854
9,1,323,Mandibulectomy,20035,23040
9,1,324,Partial Glossectomy,5520,6348
9,1,325,Hemiglossectomy,7000,8050
9,1,326,Total Glossectomy,22885,26318
9,1,327,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation),22000,25300
9,1,328,Parotidectomy - Superficial,12075,13886
9,1,329,Parotidectomy - Total,15000,17250
9,1,330,Parotidectomy - Radical,19550,22483
9,1,331,Repair of Parotid Duct,11500,13225
