source_page,extracted_table_index,column_1,column_2,column_3,column_4
3,1,96,Ptosis surgery with LPS resection one lid,5500,6325
3,1,97,Ptosis surgery with Sling surgery one lid,6003,6903
3,1,98,Ectropion surgery- one lid,1400,1610
3,1,99,Ectropion surgery- both lids,2500,2875
3,1,100,Epicanthus correction,1395,1604
3,1,101,Cantholysis and canthotomy,518,596
3,1,102,Entropion surgery- one lid,1242,1428
3,1,103,Entropion surgery- both lids,1800,2070
3,1,104,Tarsorraphy,595,684
3,1,105,Suturing of lid lacerations,1035,1190
3,1,106,Lid retraction repair,1530,1760
3,1,107,Concretions removal,104,120
3,1,108,Bucket handle procedure for lid tumors,311,358
3,1,109,Cheek rotation flap for lid tumors,6210,7142
3,1,110,Orbitotomy,7245,8332
3,1,111,Enucleation,3000,3450
3,1,112,Enucleation with orbital implants and artificial prosthesis,2700,3105
3,1,113,Evisceration,3105,3571
3,1,114,Evisceration with orbital implants and artificial prosthesis,5124,5893
3,1,115,Telecanthus correction,4658,5357
3,1,116,Orbital decompression,5175,5951
3,1,117,Exenteration,5750,6613
3,1,118,Exenteration with skin grafting,6210,7142
3,1,119,Fracture orbital repair,8280,9522
3,1,120,Retinal laser procedures,1450,1668
3,1,121,Retinal detachment surgery (RDS),10350,11903
3,1,122,Retinal detachment surgery (RDS) with scleral buckling,12420,14283
3,1,123,Buckle removal,1035,1190
3,1,124,Silicone oil removal,2520,2898
3,1,125,Anterior retinal cryopexy,1046,1203
3,1,126,Squint correction for one eye,5000,5750
3,1,127,Squint correction for both eyes,7500,8625
3,1,128,Trabeculectomy,6210,7142
3,1,129,Trabeculotomy,6210,7142
3,1,130,Trabeculectomy with Trabeculotomy,9315,10712
3,1,131,Trephination,2070,2381
3,1,132,Goniotomy,311,358
3,1,133,Glaucoma surgery with Glaucoma valves,6210+valve,7142+valve
3,1,134,Cyclocryotherapy,1035,1190
3,1,135,YAG laser iridotomy,1350,1553
3,1,136,YAG laser capsulotomy,984,1132
3,1,137,ALT-Argon laser trabeculoplasty,1495,1719
3,1,138,PDT-Photodymic therapy,3105,3571
3,1,139,TTT- Transpupillary thermal therapy,3000,3450
3,1,140,PTK- Phototherapeutic keratectomy,7000,8050
3,1,141,Argon/diode laser for retinal detatchment,1035,1190
3,1,142,Intralase application for keratoconus,5175,5951
3,1,143,EOG- electro-oculogram,810,932
3,1,144,ERG- Electro-retinogram,715,822
3,1,145,VEP- visually evoked potential,800,920
3,1,146,Vitrectomy- pars plana,10350,11903
3,1,147,Intravitreal injections- of antibiotics,1035,1190
3,1,148,Intravitreal injections- of Ranibizumab excluding cost of drug,2700,3105
4,1,149,X Ray orbit,115,132
4,1,150,CT orbit and brain,1600,1840
4,1,151,MRI- Orbit and brain,3450,3968
4,1,152,Dacryocystography,340,391
4,1,153,Orbital angio-graphical studies,1500,1725
4,1,154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
4,1,155,Small Incision Cataract Surgery (SICS) with IOL,4500,5175
4,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,9703,11158
4,1,157,Pars plana lensectomy with/without IOL,10000,11500
4,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6210,7142
4,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),12150,13973
4,1,160,Optic nerve sheathotomy,7500,8625
4,1,161,Iridodialysis repair or papillary reconstruction,4500,5175
4,1,162,Iris cyst removal,765,880
4,1,163,Lid Abscess incision and Drainage,1530,1760
4,1,164,Orbital Abscess incision and Drainage,2800,3220
4,1,165,Biopsy,414,476
4,1,166,Paracentesis,207,238
4,1,167,Scleral graft for scleral melting or perforation,2520,2898
4,1,168,Amniotic membrane grafting,1100,1265
4,1,169,Cyclodiathermy,2070,2381
4,1,170,Intraocular foreign body removal,187,215
4,1,171,Electrolysis,230,265
4,1,172,Perforating injury repair,4050,4658
4,1,173,Botulinum injection for blepharospasm or squint,2500,2875
4,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
4,1,174,Flap Operation per quadrant,360,414
4,1,175,Gingivectomy per quadrant,234,269
4,1,176,Reduction & immobilization of fracture- Maxilla Under LA,900,1035
4,1,177,Reduction & immobilization of fracture-Mandible Under LA,3150,3623
4,1,178,Splints/Circummandibular wiring under LA,510,587
4,1,179,splints/Circummandibular wiring under GA,990,1139
4,1,180,Internal wire fixation/plate fixation of Maxilla under LA,3000,3450
4,1,181,Internal wire fixation/plate fixation of Maxilla under GA,4000,4600
4,1,182,Internal wire fixation/plate fixation of Mandible under LA,3500,4025
4,1,183,Internal wire fixation/plate fixation of Mandible under GA,4250,4888
4,1,184,Extraction per tooth under LA,80,92
4,1,185,Complicated Extraction per Tooth under LA,100,115
4,1,186,Extraction of impacted tooth under LA,160,184
4,1,187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA,845,972
4,1,188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244,281
4,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms,406,467
4,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms under GA,1000,1150
4,1,191,TM joint ankylosis- under GA,6750,7763
4,1,192,Biopsy Intraoral-Soft tissue,374,430
4,1,193,Biopsy Intraoral-Bone,374,430
4,1,194,Hemi-mandibulectomy with graft,18900,21735
4,1,195,Hemi-mandibulectomy without graft,21000,24150
5,1,196,Segmental-mandibulectomy with graft,3400,3910
5,1,197,Segmental-mandibulectomy without graft,990,1139
5,1,198,Maxillectomy- Total with graft,2500,2875
5,1,199,Maxillectomy- Total without graft,1950,2243
5,1,200,Maxillectomy- partial with graft,3000,3450
5,1,201,Maxillectomy- partial without graft,2500,2875
5,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
5,1,203,Pre-prosthetic surgery- Alveoloplasty,500,575
5,1,204,Pre-prosthetic surgery - ridge augmentation,1200,1380
5,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
5,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
5,1,207,Apicoectomy- Single root,500,575
5,1,208,Apicoectomy-Multiple roots,650,748
5,1,209,Metal Crown-per unit,500,575
5,1,210,Metal Crown with Acrylic facing per unit,700,805
5,1,211,Complete single denture-metal based,1350,1553
5,1,212,Complete denture- acrylic based per arch,950,1093
5,1,213,Removable partial denture-Metal based-upto 3 teeth,630,725
