Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,M15.52 CT for CA Lung,-,M15.52.6A,Vinorelbine + Cisplatin Vinorelbine 25mg/m2 D1 D8 Cisplatin 75mg/m2 D1 every 21 days,"CBC, LFT, RFT, RBS, CECT Thorax, abdomen and Pelvis, histopathology- Non Small cell Lung cancer","BAR CODE OF THE DRUGS, REPORTS OF THE TESTS (PATHOLOGY, RADIOLOGY, MICROBIOLOGY, HEMATOLOGY, BIOCHEMISTRY,ETC.) DISCHARGE SUMMARY OF INPATIENT DEPARTMENT, DISCHARGE SUMMARY OF DAY CARE DEPARTMENT, CHARTS OF CHEMOTHERAPY REGIMEN, TRANFUSION SLIPS",22100
,M15.6 OVARY- GERM CELL TUMOR,99.25.45,M15.6.1,Chemotherapy for Ovarian cancer with Germ Cell Tumor Bleomycin-Etoposide-Cisplatin (Bep),"Routine Histopathological Examination, CT local area without contrast, USG local area, Beta HCG(Human Chorionic Gonadotropin) Levels, Alpha Feto Protiens Levels, Lactate Dehydrogenase (LDH), Chest X-Ray PA View(1 Film)/CT Scan Chest With Contrast, Clinical Photograph","Clinical Photograph, Case Sheet with operation Notes",16100
,M15.7.1 Gestational Trophoblast Ds.,99.25.56,M15.7.1.1,Chemotherapy for low risk Gestational trophoblast DS with Weekly Methotrexate,"Routine Histopathological Examination, CT local area without contrast, USG local area, Beta HCG(Human Chorionic Gonadotropin) Levels, Chest X-Ray PA View(1 Film), Clinical Photograph","Beta HCG(Human Chorionic Gonadotropin) Levels, Case Sheet with operation Notes",2000
,M15.7.1 Gestational Trophoblast Ds.,99.25.67,M15.7.1.2,Chemotherapy for low risk Gestational trophoblast DS with Actinomycin,"Routine Histopathological Examination, CT local area without contrast, USG local area, Beta HCG(Human Chorionic Gonadotropin) Levels, Chest X-Ray PA View(1 Film)","B Hcg Levels, Case Sheet with operation Notes",5500
,M15.7.2 High risk,99.25.78,M15.7.2.1,Chemotherapy for high risk Gestational trophoblast DS with Etoposide-Methotrexate -Actinomycin / Cyclophosphamide Vincristine (Ema-Co),"Routine Histopathological Examination, CT local area without contrast,MRI Brain without contrast,USG local area, Beta HCG(Human Chorionic Gonadotropin) Levels, Chest X-Ray PA View(1 Film), USG Abdomen, Beta HCG(Human Chorionic Gonadotropin) Levels, Clinical Photograph","Beta HCG(Human Chorionic Gonadotropin) Levels, Case Sheet with operation Notes",15700
,M15.8 TESTICULAR CANCER,99.25.83,M15.8.1,Chemotherapy for Testicular Cancer with Bleomycin with Etoposide-Cisplatin (Bep),"Routine Histopathological Examination, CT Scan Chest without Contrast,/CT Scan Abdomen Without Contrast,USG local area, Beta HCG(Human Chorionic Gonadotropin) Levels, Chest X-Ray PA View(1 Film), Alpha Feto Protiens Levels, Lactate Dehydrogenase (LDH), Clinical Photograph",Case Sheet with operation Notes,8000
,M15.9 PROSTATE CANCER,99.24,M15.9.1,Prostate Cancer with Hormonal Therapy,"CT scan Abdomen With Contrast/ USG Abdomen, Abdomen Prostate-Specific Antigen (PSA)-I02.056, Chest X-Ray PA View(1 Film), Routine Histopathological Examination","Case Sheet with treatment details, Clinical Photograph",3710
,M16.1 COBALT 60 EXTERNAL BEAM RADIOTHERAPY,92.23.1,M16.1.1,Radical Treatment with Cobalt 60 External Beam Radiotherapy,"CT local Area/Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), Case Sheet with Clinical History","RT treatment with dose, time",26000
,M16.1 COBALT 60 EXTERNAL BEAM RADIOTHERAPY,92.23.2,M16.1.2,Palliative Treatment with Cobalt 60 External Beam Radiotherapy,"CT local Area/Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), Case sheet with clinical History","RT treatment with dose, time",13000
,M16.1 COBALT 60 EXTERNAL BEAM RADIOTHERAPY,92.23.3,M16.1.3,Adjuvant Treatment with Cobalt 60 External Beam Radiotherapy,"CT local Area/Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), Case sheet with clinical History","RT treatment with dose, time",15000
,M16.10 Respiratory Gating along with Linear Accelerator planning (5 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.10.1A,Respiratory Gating along with Linear Accelerator planning,"Clinical notes and Documentary evidence confirming the need of Respiratory-gated radiotherapy (tumours that move with respiration during radiotherapy (lung, breast and upper abdominal tumpurs)",Detailed Discahrge Summary (with RT treatment and doses given),84500
,M16.10 Respiratory Gating along with Linear Accelerator planning (5 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.10.2A,Additional fractions - 10,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),45500
,"M16.11 Brachytherapy High Dose Radiation (5 doses)(Inclusive of Simulation, Planning Cost, OT And other charges )",-,M16.11A,Additional fractions - 11,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),
,M16.2 EXTERNAL BEAM RADIOTHERAPY (ON LINEAR ACCELERATOR),92.24.1,M16.2.1,Radical Treatment With Photons External Beam Radiotherapy (on Linear Accelerator),"CT local Area/Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), Complete staging report, Case sheet with clinical History",Case Sheet with treatment details,71500
,M16.2 EXTERNAL BEAM RADIOTHERAPY (ON LINEAR ACCELERATOR),92.24.2,M16.2.2,Palliative Treatment With Photons External Beam Radiotherapy (on Linear Accelerator) 2nd Month,"CT local Area or Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), Case sheet with clinical History",Case Sheet with treatment details,50000
,M16.2 EXTERNAL BEAM RADIOTHERAPY (ON LINEAR ACCELERATOR),92.24.3,M16.2.3,Adjuvant Treatment With Photons/Electrons / (92.25)External Beam Radiotherapy (on Linear Accelerator),"CT local Area or Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), Case sheet with clinical History",Case Sheet with treatment details,71500
,M16.3.1 Brachytherapy A) Intracavitary,92.20.1,M16.3.1.1,Brachytherapy Intracavitary I. Ldr Per Application,"Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), RT treatment with dose, time, Case sheet with clinical History","Biometric chart, RT treatment with dose, time",15000
,M16.3.1 Brachytherapy A) Intracavitary,92.20.2,M16.3.1.2,Brachytherapy Intracavitary II. Hdr Per Application,"Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), RT treatment with dose, time, Case sheet with clinical History","RT treatment with dose, time",4600
,M16.3.2 Brachytherapy B) Interstitial,92.27.1,M16.3.2.1,Brachytherapy Interstitial I. Ldr Per Application,"CT local Area/ Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), RT treatment with dose, time, Case sheet with clinical History",Case Sheet with treatment details,19596
,M16.3.2 Brachytherapy B) Interstitial,92.27.2,M16.3.2.2,Brachytherapy Interstitial II. Hdr One Application And Multiple Dose Fractions,"CT local Area/ Routine Histopathological Examination/ Contrast Enhanced USG, Chest X-Ray PA View(1 Film), RT treatment with dose, time, Case sheet with clinical History",Case Sheet with treatment details,50000
,M16.4.1 SPECIALIZED RADIATION THERAPY - IMRT (Intensity modulated radiotherapy),92.29.1,M16.4.1.1,Specialized Radiation therapy- IMRT (Intensity modulated radiotherapy) Upto 40 Fractions IMRT In 8 Weeks,"CT local Area/MRI Local Area, Biopsy, Case sheet with clinical History","BEAMLET information, RT treatment with dose, time",150000
,M16.5 2D External Beam Radiotherapy (6 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.5.1A,Radical,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),27300
,M16.5 2D External Beam Radiotherapy (6 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.5.2A,Adjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),14300
,M16.5 2D External Beam Radiotherapy (6 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.5.3A,Neoadjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),14300
,M16.5 2D External Beam Radiotherapy (6 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.5.4A,Additional fractions - 1,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),11700
,M16.6 2D External Beam Radiotherapy (25 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.6.1A,Neoadjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),26000
,M16.6 2D External Beam Radiotherapy (25 Fractions) (Inclusive of Simulation And Planning Cost),-,M16.6.2A,Additional fractions - 2,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),6500
,"M16.7 Linear Accelerator, External Beam Radiotherapy 3D CRT (6 Fractions)(Inclusive of Simulation And Planning Cost)",-,M16.7.1A,Radical,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),27300
,"M16.7 Linear Accelerator, External Beam Radiotherapy 3D CRT (6 Fractions)(Inclusive of Simulation And Planning Cost)",-,M16.7.2A,Adjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),27300
,"M16.7 Linear Accelerator, External Beam Radiotherapy 3D CRT (6 Fractions)(Inclusive of Simulation And Planning Cost)",-,M16.7.3A,Neoadjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),27300
,"M16.7 Linear Accelerator, External Beam Radiotherapy 3D CRT (6 Fractions)(Inclusive of Simulation And Planning Cost)",-,M16.7.4A,Additional fractions - 3,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),23400
,M16.8 Linear Accelerator External Beam Radiotherapy IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (6 Fractions)(Inclusive of Simulation And Planning Cost),-,M16.8.1A,Radical,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),60000
,M16.8 Linear Accelerator External Beam Radiotherapy IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (6 Fractions)(Inclusive of Simulation And Planning Cost),-,M16.8.2A,Adjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),60000
,M16.8 Linear Accelerator External Beam Radiotherapy IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (6 Fractions)(Inclusive of Simulation And Planning Cost),-,M16.8.3A,Neoadjuvant,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),60000
,M16.8 Linear Accelerator External Beam Radiotherapy IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (6 Fractions)(Inclusive of Simulation And Planning Cost),-,M16.8.4A,Additional fractions - 8,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),13000
,M16.9 SRT / SBRT with IGRT (Stereotacatic radiotherapy)(4 Fractions)(Inclusive of Simulation And Planning Cost),-,M16.9.1A,SRT / SBRT with IGRT (Stereotacatic radiotherapy),"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),106600
,M16.9 SRT / SBRT with IGRT (Stereotacatic radiotherapy)(4 Fractions)(Inclusive of Simulation And Planning Cost),-,M16.9.2A,Additional fractions - 9,"HPE report, Clinical notes with planned line of treatment (documents confirming the Procedure indicated and details of RT treatment plan).",Detailed Discahrge Summary (with RT treatment and doses given),57200
,S14.4.2 SPECIALIZED RADIATION THERAPY - 3DCRT(3-D conformational radiotherapy),92.29.2,M16.4.2.1,Specialized Radiation therapy - 3DCRT(3-D conformational radiotherapy)Upto 30 Fractions 3DCRT In 6 Weeks,"CT local Area/ MRI Local Area, Routine Histopathological Examination, Case sheet with clinical History",Case Sheet with treatment details,120000
,S14.4.3 SPECIALIZED RADIATION THERAPY - SRS/SRT,92.29.3,M16.4.3.1,Specialized Radiation therapy - SRS/SRT Upto 30 Fractions In SRS/SRT 6 Weeks,"CT local Area/ MRI Local Area, Routine Histopathological Examination, Case sheet with clinical History",Case Sheet with treatment details,106600
,M18.1 UTI,-,M18.1A,UTI,-,-,16500
