Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,S9.43 Meatotomy / Meatoplasty,-,S9.43.1A,Meatotomy,Clinical notes and confirmed diagnosis of meatal stenosis,"Detailed discharge summary, detailed Procedure / Operative Notes",6200
,S9.43 Meatotomy / Meatoplasty,-,S9.43.2A,Meatoplasty,Clinical notes and confirmed diagnosis of meatal stenosis,"Detailed discharge summary, detailed Procedure / Operative Notes",7100
,S9.45 Urethral Dilatation,-,S9.45.1A,Non endocopic as an independent procedure,Clinical notes and Investigation reports confirming urethral stricture (RGU+/- MCU),"Detailed discharge summary, Detailed Procedure / Operative Notes detailing size of dilators used",3800
,S9.45 Urethral Dilatation,-,S9.45.2A,Endocopic as an independent procedure,Clinical notes and Investigation reports confirming urethral stricture (RGU+/- MCU),"Endoscopic Intra procedure still photograph, detailed discharge summary, Detailed Procedure / Operative Notes",8500
,S9.46 Emergency management of Hematuria,-,S9.46A,Emergency management of Hematuria,Clinical notes detailing the hematuria with urine report showing frank or microscopic?,Evidence of investigations done treatment given; detailed discharge summary,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,S9.47 Excision of Urethral Caruncle,-,S9.47A,Excision of Urethral Caruncle,Clinical notes and confirmed diagnosis of urethral carunclule.,"Histopathology, Detailed discharge summary, detailed Procedure / Operative Notes",8500
,S9.48 Urethrorectal fistula repair,-,S9.48A,Urethrorectal fistula repair,Clinical notes and confirmation of fistula and it's tract by Cystoscopy+Sigmoidoscopy+/-RGU+MCU,"detailed Procedure / Operative Notes, Detailed discharge summary",75000
,S9.49 Holmium Laser Prostatectomy,-,S9.49A,Holmium Laser Prostatectomy,"Clinical notes and USG with prostate size and Post Void Volume +/- PSA, +/- uroflometry Is the hospital registered for holmium laser?","Histopathology, Detailed discharge summary, detailed Procedure / Operative Notes",44800
,S9.5 Renal Transplantation,99.23.2,S9.5.1,Post Renal Transplant Immunosuppressive Treatment From 7th To 12 Th Month.,"Renal Profile, USG Abdomen, Latest Color Dopplar of Transplant Area","Renal Profile, Latest Color Dopplar of Transplant Kidney",61210
,"S9.50 TURP-Transurethral Resection of the Prostate, BPH",-,S9.50A,Bipolar,"Clinical notes and USG with prostate size and Post Void Volume +/- PSA, +/- uroflometry","Histopathology, Detailed discharge summary, detailed Procedure / Operative Notes",46500
,S9.51 Transrectal Ultrasound guided prostate biopsy (minimum 12 core),-,S9.51A,Transrectal Ultrasound guided prostate biopsy (minimum 12 core),"Clinical notes and USG with prostate size and Post Void Volume establishing suspicion of malignancy, +/- PSA","Histopathology showing reporting of minimum 12 core samples of prostate, Detailed discharge summary, detailed Procedure / Operative Notes.",15200
,S9.52 Surgery for Priapism,-,S9.52.1A,Aspiration,Color-flow penile Doppler imaging/ USG (patients with high-flow priapism),Detailed discharge summary; detailed Procedure / Operative Notes,22500
,S9.52 Surgery for Priapism,-,S9.52.2A,Shunt,Color-flow penile Doppler imaging/ USG (patients with high-flow priapism),Detailed discharge summary; detailed Procedure / Operative Notes,24800
,S9.53 Surgery for Priaprism - Follow Up,-,S9.53A,Surgery for Priaprism - Follow Up,Earlier Discharge Summary,Clinical notes with planned line of treatment,1000
,S9.54 Penile prosthesis insertion,-,S9.54A,Penile prosthesis insertion,Clinical notes with Previous medical reports showing the panectomy and its indication,"Detailed discharge summary, detailed Procedure / Operative Notes, Bar code of implant used",52500
,S9.55 PCNL - Follow Up,-,S9.55A,PCNL - Follow Up,Earlier Discharge Summary,"USG / Urine Routine, Drugs",1200
,S9.56 Retrograde Intrarenal Surgery with Laser Lithotripsy,-,S9.56A,Retrograde Intrarenal Surgery with Laser Lithotripsy,Clinical notes and IVP / NCCT+ CT-IVP confirming the indication,"Detailed discharge summary, Post procedure Imaging (X Ray/USG), showing stone removed detailed Procedure / Operative Notes",45600
,S9.57 Repair for VVF,-,S9.57.1A,Open / Vaginal,"Admission Notes comprising of history and examination with indications for the procedure,Relavant Investigations (establishing diagnosis) and Cystoscopy/ Cystourethroscopy. Voiding Cystourethrogram is optional.","Detailed Procedure / Operative Notes, Intraop. stills with date & patient ID, Progress notes,detailed discharge summary.detailed discharge summary.",56300
,S9.57 Repair for VVF,-,S9.57.2A,Laparoscopic,"Admission Notes comprising of history and examination with indications for the procedure,Relavant Investigations (establishing diagnosis) and Cystoscopy/ Cystourethroscopy. Voiding Cystourethrogram is optional.","Detailed Procedure / Operative Notes, Intraop. stills with date & patient ID, Progress notes,detailed discharge summary.detailed discharge summary.",56300
,S9.6 RENAL,55.02,S9.6.1,Nephrostomy - Renal,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), RFT","USG Abdomen, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), RFT",22500
,S9.6 RENAL,55.4.1,S9.6.2,Nephrectomy for Pyonephrosis/Xgp,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, 99 TC Dtpa Renogram","USG Abdomen / CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination, WEBEX",54900
,S9.6 RENAL,55.5.1,S9.6.3,Simple Nephrectomy,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast","USG Abdomen/ Routine Histopathological Examination, Scar Photo",49300
,S9.6 RENAL,55.5.2,S9.6.4,Laproscopic Simple Nephrectomy,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, 99 TC Dtpa Renogram","USG Abdomen / CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination",54900
,S9.6 RENAL,55.5.3,S9.6.5,Laproscopic Radical Nephrectomy,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, 99 TC Dtpa Renogram","USG Abdomen / CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination",65000
,S9.6 RENAL,55.4.3,S9.6.6,Lap. Partial Nephrectomy,"CT Scan Lower Abdomen With Contrast, USG Abdomen","USG Abdomen, Routine Histopathological Examination, WEBEX",69300
,S9.6 RENAL,55.51.2,S9.6.7,Bilateral Nephroureterectomy,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, Renal biopsy","USG Abdomen/ CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB)",110000
,S9.6 RENAL,55.39,S9.6.8,Renal Cyst Excision,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, Fine Needle Aspiration Cytology (FNAC)","USG Abdomen / CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination",23220
,S9.7 RENAL STONE SURGERY/THERAPIES,55.11.3,S9.2.5,Anatrophic Peylolithotomy For Staghorn Caliculus,"Intra Veneous Pyelogram, USG Abdomen/CT Scan Lower Abdomen With Contrast, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB)","CT Scan Lower Abdomen With Contrast, USG Abdomen, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB)",50000
,S9.7 RENAL STONE SURGERY/THERAPIES,57.01,S9.7.1,Endoscope Removal Of Stone In Bladder,"USG Abdomen, CT Scan Lower Abdomen With Contrast, Cystoscopy","USG Abdomen, CT Scan Lower Abdomen With Contrast",25000
,S9.8 CORRECTIVE SURGERIES,55.87.2,S9.8.1,Anderson Hynes Pyeloplasty,"Abdomen X-Ray (Lateral View), ntra Veneous Pyelogram/ USG Abdomen / CT Scan Lower Abdomen With Contrast, Renal Profile","USG Abdomen, CT Scan Lower Abdomen With Contrast",50000
,S9.8 CORRECTIVE SURGERIES,57.84.1,S9.8.2,Surgical correction of Vesicovaginal Fistula,"Retrograde Urethrogram, USG Abdomen/ Intra Veneous Pyelogram, CT Scan Lower Abdomen With Contrast, Cystoscopy","USG Abdomen, CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination, WEBEX",56300
,S9.8 CORRECTIVE SURGERIES,58.45.4,S9.8.3,Epispadiasis - Correction,Clinical Photograph,Clinical Photograph,50000
,S9.8 CORRECTIVE SURGERIES,58.43,S9.8.4,Closure Of Urethral Fistula,"Retrograde Urethrogram, Clinical Photograph",Scar Photo,50000
,S9.8 CORRECTIVE SURGERIES,58.5.1,S9.8.5,Optical Urethrotomy,"Retrograde Urethrogram, USG Abdomen, CT Scan Lower Abdomen With Contrast/ Intra Veneous Pyelogram","USG Abdomen, CT Scan Lower Abdomen With Contrast, Intra OP photo, Endoscopic Photograph showing Receptoscope in situ",50000
,S9.8 CORRECTIVE SURGERIES,58.0,S9.8.6,Perineal Urethrostomy,"Retrograde Urethrogram, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB), USG Abdomen, Intra Veneous Pyelogram, CT Scan Lower Abdomen With Contrast, Clinical Photograph","USG Abdomen, CT Scan Lower Abdomen With Contrast, Scar Photo",32000
,S9.8 CORRECTIVE SURGERIES,56.74.1,S9.8.7,Ureteric Reimplantations,USG Abdomen / Micturating Cystourethrogram (MCUG),"USG Abdomen, Scar Photo",38300
,S9.8 CORRECTIVE SURGERIES,56.51,S9.8.8,Surgical Procedure for Ileal Conduit Formation,"CT Scan Lower Abdomen With Contrast, USG Abdomen/Intra Veneous Pyelogram","USG Abdomen, CT Scan Lower Abdomen With Contrast, Abdomen X-Ray (Lateral View)",100000
,S9.8 CORRECTIVE SURGERIES,56.4,S9.8.9,Surgical corrrection of Ureterocele,"Retrograde Urethrogram, Abdomen X-Ray (Lateral View), USG Abdomen/Intra Veneous Pyelogram","USG Abdomen, CT Scan Lower Abdomen With Contrast, Abdomen X-Ray (Lateral View)",30000
,S9.9 BLADDER and PROSTATE,60.29.1,S9.9.1,Transurethral Resection of Prostate (TURP),"Cystoscopy, USG Abdomen, CT Scan Lower Abdomen With Contrast, Cystouretroscopy","USG Abdomen, CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination",46500
,S9.9 BLADDER and PROSTATE,60.29.2,S9.9.2,Transurethral Resection of Prostate (TURP) Cyst Lithotripsy,"USG Abdomen, CT Scan Lower Abdomen With Contrast, Prostate-Specific Antigen (PSA), Cystouretroscopy","USG Abdomen, CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination",46500
,S9.9 BLADDER and PROSTATE,60.3,S9.9.3,Open Prostatectomy,"USG Abdomen, CT Scan Lower Abdomen With Contrast, Cystoscopy, Cystouretroscopy","USG Abdomen, CT Scan Lower Abdomen With Contrast, Routine Histopathological Examination, Scar Photo",44800
,S9.9 BLADDER and PROSTATE,57.88,S9.9.4,Caecocystoplasty,"USG Abdomen, Cystoscopy, CT Scan Lower Abdomen With Contrast","CT Scan Lower Abdomen With Contrast, USG Abdomen, Scar Photo",60000
,S9.9 BLADDER and PROSTATE,57.7,S9.9.5,Total Cystectomy,"USG Abdomen, Cystoscopy, CT Scan Lower Abdomen With Contrast, Biopsy","CT Scan Lower Abdomen With Contrast, USG Abdomen, Routine Histopathological Examination",54024
,S9.9 BLADDER and PROSTATE,57.59,S9.9.6,Bladder Diverticulectomy,"USG Abdomen, Cystoscopy, CT Scan Lower Abdomen With Contrast, Abdomen And Pelvis For Kidneys, Ureters, And Bladder (KUB)","CT Scan Lower Abdomen With Contrast, USG Abdomen, Cystoscopy, Routine Histopathological Examination",32200
,S9.9 BLADDER and PROSTATE,59.4.2,S9.9.7,Surgical Management of Incontinence Urine (Female),"Cystoscopy, USG Abdomen, CT Scan Lower Abdomen With Contrast, Case sheet with clinical History","USG Abdomen, CT Scan Lower Abdomen With Contrast",50000
,S9.9 BLADDER and PROSTATE,59.4.1,S9.9.8,Surgical Management of Incontinence Urine (Male),"Cystoscopy, USG Abdomen, CT Scan Lower Abdomen With Contrast, Case sheet with clinical History","USG Abdomen, Clinical Photograph",50000
,S10.1 BRAIN,01.24.1,S10.1.1,Craniotomy And Evacuation of Subdural Haematoma,"CT Scan Head Without Contrast, CT Angio Of Brain(Head)","CT Scan Head Without Contrast, CT Angio Of Brain(Head)",84400
