source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
7,1,149,X Ray orbit,115,132
7,1,150,CT orbit and brain,1600,1840
7,1,151,MRI- Orbit and brain,3450,3968
7,1,152,Dacryocystography,340,391
7,1,153,Orbital angio-graphical studies,1500,1725
7,1,154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
7,1,155,Small Incision Cataract Surgery (SICS) with IOL,5000,5750
7,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,10781,12398
8,1,157,Pars plana lensectomy with/without IOL,10350,11903
8,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6900,7935
8,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),13500,15525
8,1,160,Optic nerve sheathotomy,7500,8625
8,1,161,Iridodialysis repair or papillary reconstruction,5000,5750
8,1,162,Iris cyst removal,850,978
8,1,163,Lid Abscess incision and Drainage,1700,1955
8,1,164,Orbital Abscess incision and Drainage,3000,3450
8,1,165,Biopsy (eye),460,529
8,1,166,Paracentesis (eye),230,265
8,1,167,Scleral graft for scleral melting or perforation,2800,3220
8,1,168,Amniotic membrane grafting,1100,1265
8,1,169,Cyclodiathermy,2300,2645
8,1,170,Intraocular foreign body removal,187,215
8,1,171,Electrolysis (eye),230,265
8,1,172,Perforating injury repair (eye),4500,5175
8,1,173,Botulinum injection for blepharospasm or squint (excluding cost of drug),2500,2875
8,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST,Non- NABH/No,
8,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
8,1,174,Flap Operation per quadrant,360,414
8,1,175,Gingivectomy per quadrant,234,269
8,1,176,Reduction & immobilization of fracture- Maxilla Under LA,900,1035
8,1,177,Reduction & immobilization of Fracture-Mandible Under LA,3500,4025
9,1,178,Splints/Circummandibular wiring under LA,510,587
9,1,179,Splints/Circummandibular wiring under GA,990,1139
9,1,180,Internal wire fixation/plate fixation of Maxilla under LA,3000,3450
9,1,181,Internal wire fixation/plate fixation of Maxilla under GA,4000,4600
9,1,182,Internal wire fixation/plate fixation of Mandible under LA,3500,4025
9,1,183,Internal wire fixation/plate fixation of Mandible under GA,4250,4888
9,1,184,Extraction per tooth under LA,80,92
9,1,185,Complicated Extraction per Tooth under LA,100,115
9,1,186,Extraction of impacted tooth under LA,160,184
9,1,187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA,939,1080
9,1,188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244,281
9,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms under,406,467
9,1,190,Cyst & tumour of Maxilla/mandible by enucleation / excision / marsupialisation size more than 4 cms under,1000,1150
9,1,191,TM joint ankylosis- under GA,7500,8625
9,1,192,Biopsy Intraoral-Soft tissue,374,430
9,1,193,Biopsy Intraoral-Bone,374,430
9,1,194,Hemi-mandibulectomy with graft,21000,24150
9,1,195,Hemi-mandibulectomy without graft,21000,24150
9,1,196,Segmental-mandibulectomy with graft,3400,3910
9,1,197,Segmental-mandibulectomy without graft,990,1139
9,1,198,Maxillectomy- Total with graft,2500,2875
9,1,199,Maxillectomy- Total without graft,1950,2243
9,1,200,Maxillectomy- partial with graft,3000,3450
9,1,201,Maxillectomy- partial without graft,2500,2875
10,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
10,1,203,Pre-prosthetic surgery- Alveoloplasty (per arch),500,575
10,1,204,Pre-prosthetic surgery - ridge augmentation (per arch),1200,1380
10,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
10,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
10,1,207,Apicoectomy- Single root,500,575
10,1,208,Apicoectomy-Multiple roots,650,748
10,1,209,Metal Crown-per unit,500,575
10,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST,Non- NABH/No,
10,1,210,Metal Crown with Acrylic facing per unit,700,805
10,1,211,Complete single denture-metal based,1500,1725
10,1,212,Complete denture- acrylic based per arch,950,1093
10,1,213,Removable partial denture-Metal based-upto 3 teeth,700,805
10,1,214,Removable partial denture-Metal based-more than 3 teeth,900,1035
10,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500,575
10,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
10,1,217,Amalgam restoration-per tooth,200,230
10,1,218,Composite Restoration-per tooth-anterior tooth,250,288
10,1,219,Glass Ionomer filling-per tooth,200,230
10,1,220,Scaling & polishing,300,345
10,1,221,Removable Orthodontics appliance- per Arch,700,805
10,1,222,Fixed Orthodontics-per Arch,1150,1323
10,1,223,Space maintainers-Fixed,500,575
10,1,224,Habit breaking appliances-removable,800,920
11,1,225,Habit breaking appliances-Fixed,1500,1725,
11,1,226,Expansion plate,1000,1150,
11,1,227,Feeding appliance for cleft palate,1500,1725,
11,1,228,Maxillo-facial prosthesis (sal /auricular/orbital/facial lost part),3500,4025,
11,1,229,Functional orthodontic appliances,3000,3450,
11,1,230,Obturator (Maxillo-facial),1500,1725,
11,1,231,Occlusal night guard(splint),800,920,
11,1,,TREATMENT PROCEDURE ENT,,,
11,1,232,Pure Tone Audiogram / Pure Tone Audiometry / PTA,172,198,
11,1,233,Impedance with stepedial reflex ( Impedance Audiometry) / Tympanometry,330,380,
11,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,132,152,
11,1,235,Multiple hearing assessment test to Adults,115,132,
11,1,236,Speech Discrimination Score (SDS),90,104,
11,1,237,Speech Assessment,120,138,
11,1,238,Speech Therapy per session of atleast 40 minutes,340,400,Revised rate w.e.f. 01.05.2023 & applicableinall CGHS cities
11,1,239,Cold Calorie Test for Vestibular function,172,198,
11,1,240,Removal of foreign body From Nose,345,397,
11,1,241,Removal of foreign body From Ear,230,265,
11,1,242,Syringing (Ear),166,191,
11,1,243,Polyp removal under LA,575,661,
11,1,244,Polyp removal under GA,850,978,
11,1,245,Peritonsillar abscess Drainage under LA,1449,1666,
11,1,246,Myringoplasty,6900,7935,
12,1,247,Staepedectomy,9200,10580
12,1,248,Myringotomy with Grommet insertion,4600,5290
12,1,249,Tympanotomy,8625,9919
12,1,250,Tympanoplasty,13800,15870
12,1,251,Mastoidectomy,14950,17193
12,1,252,Otoplasty,16100,18515
12,1,253,Labyrinthectomy,13800,15870
12,1,254,Skull Base surgery,25000,28750
12,1,255,Facial Nerve Decompression,17250,19838
12,1,256,Septoplasty,5750,6613
12,1,257,Submucous Resection,7314,8411
12,1,258,Septo-rhinoplasty,16100,18515
12,1,259,Rhinoplasty- Non-cosmetic,11500,13225
12,1,260,Fracture Reduction of Nasal Bone,4250,4888
12,1,261,Intra nasal Diathermy,1150,1323
12,1,262,Turbinectomy,5750,6613
12,1,263,Endoscopic Dacryocystorhinostomy (DCR),13000,14950
12,1,264,Endoscopic Surgery (ENT),13800,15870
12,1,265,Septal Perforation Repair,13800,15870
12,1,266,Antrum Puncture,950,1093
