source_page,extracted_table_index,column_1,column_2,column_3,column_4
7,1,189,eCxycsits i&on t/u mmaorusru opfi aMlisaaxtiilolan /u mptaon 4d icbmles buyn deneru cLlAeation / excision / marsupialisation size more than 4 cms,406,467
7,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms under GA,1000,1150
7,1,191,TM joint ankylosis- under GA,6750,7763
7,1,192,Biopsy Intraoral-Soft tissue,337,388
7,1,193,Biopsy Intraoral-Bone,374,430
7,1,194,Hemi-mandibulectomy with graft,18900,21735
7,1,195,Hemi-mandibulectomy without graft,18900,21735
7,1,196,Segmental-mandibulectomy with graft,3400,3910
7,1,197,Segmental-mandibulectomy without graft,990,1139
7,1,198,Maxillectomy- Total with graft,2500,2875
7,1,199,Maxillectomy- Total without graft,1950,2243
7,1,200,Maxillectomy- partial with graft,2700,3105
7,1,201,Maxillectomy- partial without graft,2250,2588
8,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
8,1,203,Pre-prosthetic surgery- Alveoloplasty,500,575
8,1,204,Pre-prosthetic surgery - ridge augmentation,1200,1380
8,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
8,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
8,1,207,Apicoectomy- Single root,500,575
8,1,208,Apicoectomy-Multiple roots,650,748
8,1,209,Metal Crown-per unit,500,575
8,1,210,Metal Crown with Acrylic facing per unit,700,805
8,1,211,Complete single denture-metal based,1350,1553
8,1,212,Complete denture- acrylic based per arch,950,1093
8,1,213,Removable partial denture-Metal based-upto 3 teeth,700,805
8,1,214,Removable partial denture-Metal based-more than 3 teeth,810,932
8,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500,575
8,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
8,1,217,Amalgam restoration-per tooth,200,230
8,1,218,Composite Restoration-per tooth-anterior tooth,250,288
8,1,219,Glass Ionomer filling-per tooth,200,230
8,1,220,Scaling & polishing,270,311
8,1,221,Removable Orthodontics appliance- per Arch,700,805
8,1,222,Fixed Orthodontics-per Arch,1150,1323
8,1,223,Space maintainers-Fixed,500,575
8,1,224,Habit breaking appliances-removable,800,920
8,1,225,Habit breaking appliances-Fixed,1500,1725
8,1,226,Expansion plate,1000,1150
8,1,227,Feeding appliance for cleft palate,1500,1725
8,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost,3150,3623
8,1,229,pFaurntc)tional orthodontic appliances,3000,3450
8,1,230,Obturator (Maxillo-facial),1500,1725
8,1,231,Occlusal night guard(splint),800,920
9,1,,TREATMENT PROCEDURE ENT,,
9,1,232,Pure Tone Audiogram,155,178
9,1,233,Impedence with stepedeal reflex,207,238
9,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,119,137
9,1,235,Multiple hearing assessment test to Adults,104,120
9,1,236,Speech Discrimination Score,81,93
9,1,237,Speech Assessment,108,124
9,1,238,Speech therapy per session of 30-40 minutes,340,400
9,1,239,Cold Calorie Test for Vestibular function,155,178
9,1,240,Removal of foreign body From Nose,311,358
9,1,241,Removal of foreign body From Ear,207,238
9,1,242,Syringing (Ear),149,171
9,1,243,Polyp removal under LA,518,596
9,1,244,Polyp removal under GA,765,880
9,1,245,Peritonsillar abscess Drainage under LA,1304,1500
9,1,246,Myringoplasty,6210,7142
9,1,247,Staepedectomy,8280,9522
9,1,248,Myringotomy with Grommet insertion,4140,4761
9,1,249,Tympanotomy,7763,8927
9,1,250,Tympanoplasty,12420,14283
9,1,251,Mastoidectomy,13455,15473
9,1,252,Otoplasty,14490,16664
9,1,253,Labyrinthectomy,12420,14283
9,1,254,Skull Base surgery,22500,25875
9,1,255,Facial Nerve Decompression,15525,17854
9,1,256,Septoplasty,5175,5951
9,1,257,Submucous Resection,6583,7570
9,1,258,Septo-rhinoplasty,14490,16664
9,1,259,Rhinoplasty- Non-cosmetic,10350,11903
