city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status,review_reason,raw_text_line,extraction_confidence
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,29,Cobalt 60 therapy,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,29,Linear accelerator,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,29,NUCLEAR MEDICINE / BRACHYTHERAPY- HIGH DOSE RADIATION,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,29,NUCLEAR MEDICINE / CHEMOTHERAPY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,30,LIST OF PROCEDURES/ TESTS IN GASTROENTEROLOGY / ENDOSCOPIC PROCEDURES,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,30,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / DENTAL,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / PULMONARY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / OSTEOLOGY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / NEUROSCIENCES,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / GASTRO AND HEPATOBILIARY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
