city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,a a es ultrasound (IVUS),,50000,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,entricular septal defect (VSD) closure,1109900,93415,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,Ea ie angiography,13225,11240,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,esa ‘AVI /TAVR Implant,1284000,1284000,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,6,9/Permanent pacemaker,36550,43000,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,7,Peripheral Angioplasty,46750,55500,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,7,PDA -,46750,55000,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,7,ibs ines tilt test (HUTT),3400,4000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,treatment,1725,1500,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Debridement of wounds,1500,1275,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Excision Biopsy of Superficial Lumps,3333,2898,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,pst [Fret Needle Biopsy,3500,2975,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Scalene Node Biops’,1553,1350,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Haemorrhoidectomy,30000,25500,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Stappler haemorrhoidectomy,43700,37145,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Achalasia Cardia Transthoracic,15474,13455,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Gastric & Duodenal Biopsy (Endoscopic),2236,1944,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Vagotomy Pyleroplasty / Gastro Jejunostom,15870,13800,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,(Operation for Bleeding Peptic Ulcer,21710,18878,,,,ocr,False,usable_ocr
