source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
18,1,761,Repair of Ureterocoel -Endoscopic incision,"13,000.00","14,950.00"
18,1,762,Open Suprapubic Prostatectomy,"18,630.00","21,425.00"
18,1,763,Open Retropubic Prostatectomy,"18,113.00","20,830.00"
18,1,764,Transurethral Resection of Prostate (TURP),"18,630.00","21,425.00"
18,1,765,Urethroscopy/ Cystopanendoscopy,"4,140.00","4,761.00"
18,1,766,Internal urethrotomy -optical,"5,750.00","6,613.00"
18,1,767,Internal urethrotomy -Core through urethroplasty,"11,040.00","12,696.00"
18,1,768,Urethral Reconstruction -End to end ansatamosis,"3,450.00","3,968.00"
18,1,769,Urethral Reconstruction - substitution urethroplasty (Transpubic urethroplasty),"17,595.00","20,234.00"
18,1,770,Abdomino Perineal urethroplasty,"14,000.00","16,100.00"
18,1,771,Posterior Urethral Valve fulguration.,"11,270.00","12,961.00"
18,1,772,Operations for Incontinence of Urine - Male -Open,"17,250.00","19,838.00"
18,1,773,Operations for Incontinence of Urine - Male -Sling,"18,400.00","21,160.00"
18,1,774,Operations for Incontinence of Urine - Male-Bulking agent,"19,435.00","22,350.00"
18,1,775,Operations for Incontinence of Urine - Female -Open,"17,250.00","19,838.00"
18,1,776,Operations for Incontinence of Urine - Female-Sling,"18,400.00","21,160.00"
18,1,777,Operations for Incontinence of Urine - Female-Bulking agent,"19,435.00","22,350.00"
18,1,778,Reduction of Paraphimosis,"1,553.00","1,786.00"
18,1,779,Circumcision,"3,000.00","3,450.00"
18,1,780,Meatotomy,"2,346.00","2,698.00"
18,1,781,Meatoplasty,"3,220.00","3,703.00"
18,1,782,Operations for Hypospadias + Chordee Correction,"8,280.00","9,522.00"
18,1,783,Operations for Hypospadias - Second Stage,"14,000.00","16,100.00"
18,1,784,Operations for Hypospadias - One Stage Repair,"9,200.00","10,580.00"
18,1,785,Operations for Crippled Hypospadias,"11,500.00","13,225.00"
18,1,786,Operations for Epispadias _primary repair,"12,593.00","14,482.00"
18,1,787,Operations for Epispadias-crippled epispadias,"11,385.00","13,093.00"
18,1,788,Partial Amputation of the Penis,"10,764.00","12,379.00"
18,1,789,Total amputation of the Penis,"12,000.00","13,800.00"
18,1,790,Orchidectomy-Simple,"8,798.00","10,118.00"
18,1,791,Orchidectomy -Radical,"12,075.00","13,886.00"
18,1,792,Post Radical Orchidectomy retroperitoneal lymph node dissection.,"12,600.00","14,490.00"
18,1,793,Epididymectomy,"15,938.00","18,750.00"
18,1,794,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma- Open,"25,300.00","29,095.00"
18,1,795,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma -Lap/Endoscopic,"14,375.00","16,531.00"
18,1,796,Operations for Hydrocele - Unilateral,"5,279.00","6,071.00"
18,1,797,Operations for Hydrocele - Bilateral,"7,700.00","8,855.00"
18,1,798,Operation for Torsion of Testis,"10,350.00","11,903.00"
18,1,799,Micro-surgical Vasovasostomy /Vaso epidedymal ansatamosis .,"11,040.00","12,696.00"
18,1,800,Operations for Varicocele Unilateral-Microsurgical,"7,705.00","8,861.00"
18,1,801,Operations for Varicocele Palomo’s Unilateral - Lap,"9,200.00","10,580.00"
18,1,802,Operations for Varicocele Bilateral --Microsurgical,"12,650.00","14,548.00"
18,1,803,Operations for Varicocele Bilateral – Lap/ Palomo,"14,950.00","17,193.00"
18,1,804,Block Dissection of ilio-inguinal Nodes - One Side (For Ca- Penis),"6,325.00","7,274.00"
19,1,805,Block Dissection of ilio-inguinal Nodes -Both Sides (For Ca- Penis),"20,700.00","23,805.00"
19,1,806,Excision of Filarial Scrotum,"10,350.00","11,903.00"
19,1,807,Kidney Transplantation (related),"2,00,000.00","2,30,000.00"
19,1,808,Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,"3,00,000.00","3,45,000.00"
19,1,809,ABO incompatible Transplantation,"4,90,000.00","5,63,500.00"
19,1,810,Swap Transplantation,"3,88,000.00","4,46,200.00"
19,1,811,Kidney Transplant Graft Nephrectomy,"59,500.00","68,425.00"
19,1,812,Donor Nephrectomy (open),"28,750.00","33,063.00"
19,1,813,Donor Nephrectomy (Laparoscopic),"46,000.00","52,900.00"
19,1,814,Cadaver Transplantation,"83,300.00","95,795.00"
19,1,815,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Unilateral,"28,000.00","32,200.00"
19,1,816,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Bilateral,"85,000.00","97,750.00"
19,1,817,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Unilateral,"85,000.00","97,750.00"
19,1,818,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Bilateral,"85,000.00","97,750.00"
19,1,819,Post-Transplant Collection drainage for Lymphocele (open),"6,800.00","7,820.00"
19,1,820,Post-Transplant Collection drainage for Lymphocele (percutaneous),"6,800.00","7,820.00"
19,1,821,Post-Transplant Collection drainage for Lymphocele (Laparoscopic),"7,650.00","8,798.00"
19,1,822,Arteriovenous Fistula for Haemodialysis,"2,300.00","2,645.00"
19,1,823,Arteriovenous Shunt for Haemodialysis,"3,500.00","4,025.00"
19,1,824,Jugular Catheterization for Haemodialysis,"1,500.00","1,725.00"
19,1,825,Subclavian Catheterization for Haemodialysis,"2,025.00","2,329.00"
19,1,826,One sided (single Lumen) Femoral Catheterization for Haemodialysis,"1,000.00","1,150.00"
19,1,827,Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,"1,500.00","1,725.00"
19,1,828,Double Lumen Femoral Catheterization for Haemodialysis,"1,665.00","1,915.00"
19,1,829,Permcath Insertion,"2,800.00","3,220.00"
19,1,830,Arterio venous Prosthetic Graft,"1,850.00","2,128.00"
19,1,831,Single lumen Jugular Catheterization,"1,500.00","1,725.00"
19,1,832,Single lumen Subclavian Catheterization,"1,600.00","1,840.00"
19,1,833,Plasma Exchange/ Plasmapheresis,"1,725.00","1,984.00"
19,1,834,Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Open method,"3,150.00","3,623.00"
19,1,835,Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Schlendinger/ Seldinger method,"3,500.00","4,025.00"
19,1,836,Sustained low efficiency haemodialysis / hemodialysis,"1,250.00","1,438.00"
19,1,Sr. No.,CGHS TREATMENT PROCEDURE / INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH / Non- NABL Rates in,NABH / NABL Rates
19,1,837,Continuous Veno venous/Arteriovenous Haemofilteration /Hemofilteration,"Rupee 2,025.00","2,329.00"
19,1,838,Haemodialysis / Hemodialysis for Sero negative cases,"1,400.00","1,610.00"
19,1,839,Haemodialysis / Hemodialysis for Sero Positive cases,"1,650.00","1,898.00"
20,1,840,Acute Peritoneal Dialysis,"1,450.00","1,668.00"
20,1,841,Fistulogram for Arteriovenous Fistula,"2,500.00","2,875.00"
20,1,842,Ultrasound guided Kidney Bipsy,850.00,978.00
20,1,843,Fistula stenosis dilation,"3,000.00","3,450.00"
20,1,844,Slow continuous Ultrafilteration,"2,500.00","2,875.00"
20,1,845,Percutaneous Nephrolithotomy (PCNL) - Unilateral,"20,000.00","23,000.00"
20,1,846,Percutaneous Nephrolithotomy (PCNL) - Bilateral,"25,000.00","28,750.00"
20,1,847,Endoscopic Bulking agent Inject,"4,500.00","5,175.00"
20,1,848,Testicular Biopsy,"1,955.00","2,248.00"
20,1,849,Radical Nephrectomy -Open,"17,250.00","19,838.00"
20,1,850,Radical Nephrectomy -Lap/Endoscopic,"20,700.00","23,805.00"
20,1,851,Radical Nephrectomy plus IV thrombus,"23,000.00","26,450.00"
20,1,852,Radical Nephrectomy plus IV thrombus plus cardiac bypass.,"23,000.00","26,450.00"
20,1,853,Vesicovaginal Fistula (VVF) Repair (Open),"16,000.00","18,400.00"
20,1,854,Vesicovaginal Fistula (VVF) Repair (Laparoscopic),"22,000.00","25,300.00"
20,1,855,Radical Cystectomy -Ileal conduit,"17,000.00","19,550.00"
20,1,856,Radical Cystectomy - continent diversion.,"15,000.00","17,250.00"
20,1,857,Radical Cystectomy – Neo bladder,"18,500.00","21,275.00"
20,1,858,Nephrectomy Simple -Open,"10,074.00","11,585.00"
20,1,859,Nephrectomy Simple-lap/Endoscopic,"12,500.00","14,375.00"
20,1,860,Nephrostomy -Open,"10,000.00","11,500.00"
20,1,861,Nephrostomy -Lap/Endoscopic,"10,704.00","12,310.00"
20,1,862,Ureteric Reimplant for Megaureter/Vesicoureteric reflux/ ureterocele (open),"10,494.00","12,068.00"
20,1,863,Ureteric Reimplant for Megaureter/Vesicoureteric reflux/ ureterocele (Laparoscopic),"10,494.00","12,068.00"
20,1,864,Partial Cystectomy,"13,800.00","15,870.00"
20,1,865,Transurethral Resection of Prostate (TURP) & Transurethral Resection of Bladder Tumour (TURBT),"17,250.00","19,838.00"
20,1,866,Transurethral Resection of Prostate (TURP) with Cystolithotripsy,"17,000.00","19,550.00"
20,1,867,Closure of Urethral Fistula,"11,000.00","12,650.00"
20,1,868,Orchidopexy - Unilateral -Open,"9,867.00","11,347.00"
20,1,869,Orchidopexy - Unilateral- Lap/Endoscopic,"11,101.00","12,766.00"
20,1,870,Orchidopexy - Bilateral -Open,"12,000.00","13,800.00"
20,1,871,Orchidopexy - Bilateral -Lap/Endoscopic,"14,500.00","16,675.00"
20,1,872,Cystolithotomy -Suprapubic,"9,775.00","11,241.00"
20,1,873,Endoscopic Removal of Stone in Bladder,"3,450.00","3,968.00"
20,1,874,Resection Bladder Neck Endoscopic /Bladder neck incision/transurethral incision on prostrate,"10,925.00","12,564.00"
20,1,875,Ureteroscopic Surgery,"10,350.00","11,903.00"
20,1,876,Urethroplasty 1st Stage,"10,925.00","12,564.00"
20,1,877,Scrotal Exploration,"8,556.00","9,839.00"
20,1,878,Perineal Urethrostomy,"4,715.00","5,422.00"
20,1,879,Dilatation of Stricture Urethra under G.A.,"2,000.00","2,300.00"
20,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,
20,1,880,Dilatation of Stricture Urethra under LA,"1,553.00","1,786.00"
20,1,881,Laparoscopic Nephrectomy (Select CGHS rate Code 508 for approved rate),"30,015.00","34,517.00"
20,1,882,Laparoscopic partial Nephrectomy,"10,000.00","11,500.00"
21,1,883,Laparoscopic pyelolithotomy,"12,650.00","14,548.00"
21,1,884,Laparoscopic Pyeloplasty,"9,775.00","11,241.00"
21,1,885,Laparoscopic surgery for Renal cyst,"9,775.00","11,241.00"
21,1,886,Laparoscopic ureterolithotomy,"11,500.00","13,225.00"
21,1,887,Laparoscopic Nephroureterectomy,"13,225.00","15,209.00"
21,1,888,Extracorporeal Shock Wave Lithotripsy (ESWL),"19,550.00","22,483.00"
21,1,889,Uroflow Study (Uroflometry),450.00,518.00
21,1,890,Urodynamic Study (Cystometry),480.00,552.00
21,1,891,Cystoscopy with Retrograde Catheter -Unilateral /RGP,"2,523.00","2,901.00"
21,1,892,Cystoscopy with Retrograde Catheter - Bilateral /RGP,"4,500.00","5,175.00"
21,1,893,Cystoscopy with Bladder Biopsy (Cold Cup Biopsy),"3,043.00","3,499.00"
21,1,894,Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),414.00,476.00
21,1,895,Radical prostatectomy-Open,"17,825.00","20,499.00"
21,1,896,Radical prostatectomy-Laparoscopic,"20,125.00","23,144.00"
21,1,897,Radical prostatectomy- Robotic (Robotic Partial Nephrectomy),"20,125.00","23,144.00"
21,1,898,Holmium YAG Prostate Surgery,"15,000.00","17,250.00"
21,1,899,Holmium YAG Optical Internal Urethrotomy (OIU),"4,600.00","5,290.00"
21,1,900,Holmium YAG Core through internal Urethrotomy,"17,250.00","19,838.00"
21,1,901,Holmium YAG Stone Lithotripsy,"10,200.00","11,730.00"
21,1,902,Green Light laser for prostate,"17,250.00","19,838.00"
21,1,903,Retrograde Intrarenal Surgery (RIRS)/ Flexible Ureteroscopy,"6,800.00","7,820.00"
21,1,904,Microscopic Vaso-Epididymal Anastomosis (VEA)/ Vasovasostomy (reversal of vasectomy for Infertility treatment) (Select CGHS rate code 799 for approved rate),"13,500.00","15,525.00"
21,1,905,Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder),"6,800.00","7,820.00"
21,1,906,Peyronie’s disease – Plaque excision with grafting,"3,400.00","3,910.00"
21,1,907,High Intensity Focus Ultrasound (HIFU) (Robotic) for Carcinoma prostrate and renal cell carcinoma,"4,600.00","5,290.00"
21,1,908,Prosthetic surgery for urinary incontinence,"2,300.00","2,645.00"
21,1,909,Transrectal Ultrasound (TRUS) guided prostate biopsy,575.00,661.00
21,1,910,Ultrasound Guided Percutaneous Nephrostomy (PCN),720.00,828.00
21,1,911,Other Major Surgery,"15,000.00","17,250.00"
21,1,912,Other Minor Surgery,"6,800.00","7,820.00"
21,1,,TREATMENT PROCEDURE NEURO-SURGERY,,
21,1,913,Craniotomy and Evacuation of Haematoma -Subdural,"45,644.00","52,491.00"
21,1,914,Craniotomy and Evacuation of Haematoma -Extradural,"45,000.00","51,750.00"
21,1,915,Evacuation /Excision of Brain Abscess by craniotomy,"36,000.00","41,400.00"
21,1,916,Excision of Lobe (Frontal Temporal Cerebellum etc.),"36,900.00","42,435.00"
21,1,917,Excision of Brain Tumours -Supratentorial,"35,211.00","40,493.00"
21,1,918,Excision of Brain Tumours -Infratentorial,"40,500.00","46,575.00"
21,1,919,Surgery of spinal Cord Tumours,"40,500.00","46,575.00"
21,1,920,Ventriculoatrial /Ventriculoperitoneal Shunt (Select CGHS rate code 938 for approved rates),"25,000.00","28,750.00"
21,1,921,Twist Drill Craniostomy,"4,250.00","4,888.00"
21,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
21,1,922,Subdural Tapping,"2,456.00","2,824.00"
22,1,923,Ventricular Tapping,"2,967.00","3,412.00"
22,1,924,Abscess Tapping,"2,875.00","3,306.00"
22,1,925,Placement of Intracranial pressure (ICP) Monitor,"2,800.00","3,220.00"
22,1,926,Skull Traction Application,"2,300.00","2,645.00"
22,1,927,Lumber Pressure Monitoring,"4,250.00","4,888.00"
22,1,928,Vascular Malformations,"22,000.00","25,300.00"
22,1,929,Meningo Encephalocoele excision and repair,"15,000.00","17,250.00"
22,1,930,Meningomyelocoel Repair,"22,496.00","25,870.00"
22,1,931,CSF Rhinorrhaea Repair,"25,875.00","29,756.00"
22,1,932,Cranioplasty,"24,150.00","27,773.00"
22,1,933,Anterior Cervical Dissectomy,"16,600.00","19,090.00"
22,1,934,Brachial Plexus Exploration and neurotization,"15,525.00","17,854.00"
22,1,935,Median Nerve Decompression,"14,000.00","16,100.00"
22,1,936,Peripheral Nerve Surgery – Major,"17,250.00","19,838.00"
22,1,937,Peripheral Nerve Surgery Minor,"8,280.00","9,522.00"
22,1,938,Ventriculoatrial /Ventriculoperitoneal Shunt,"11,615.00","13,357.00"
22,1,939,Nerve Biopsy,"6,210.00","7,142.00"
22,1,940,Brain Biopsy,"5,227.00","6,011.00"
22,1,941,Anterior Cervical Spine Surgery with fusion,"28,980.00","33,327.00"
22,1,942,Anterio Lateral Decompression of spine,"25,875.00","29,756.00"
22,1,943,Brain Mapping,837.00,963.00
22,1,944,Cervical or Dorsal or Lumbar Laminectomy,"20,700.00","23,805.00"
22,1,945,Combined Trans-oral Surgery & Craniovertebral (CV) Junction Fusion,"33,000.00","37,950.00"
22,1,946,Craniovertebral Junction (CVJ) Fusion procedures,"30,000.00","34,500.00"
22,1,947,Depressed Fracture Elevation,"22,500.00","25,875.00"
22,1,948,Lumbar Discectomy,"25,000.00","28,750.00"
22,1,949,Endarterectomy (Carotid),"20,000.00","23,000.00"
22,1,950,Radiofrequency Ablation (RFA) for Trigeminal Neuralgia,"10,350.00","11,903.00"
22,1,951,Spasticity Surgery -,"39,675.00","45,626.00"
22,1,952,Spinal Fusion Procedure,"30,000.00","34,500.00"
22,1,953,Spinal Intra Medullary Tumours,"31,050.00","35,708.00"
22,1,954,Spinal Bifida Surgery Major,"18,975.00","21,821.00"
22,1,955,Spinal Bifida Surgery Minor,"15,000.00","17,250.00"
22,1,956,Stereotaxic Procedures- biopsy/aspiration of cyst,"23,000.00","26,450.00"
22,1,957,Trans Sphenoidal Surgery,"30,000.00","34,500.00"
22,1,958,Trans Oral Surgery,"30,000.00","34,500.00"
22,1,959,Implantation of Deep Brain Stimulation (DBS) -One electrode,"34,500.00","39,675.00"
22,1,960,Implantation of Deep Brain Stimulation (DBS) -two electrodes,"40,250.00","46,288.00"
22,1,961,Endoscopic aqueductoplasty,"15,000.00","17,250.00"
22,1,962,Facial nerve reconstruction,"27,000.00","31,050.00"
22,1,963,Carotid stenting,"38,037.00","43,743.00"
22,1,964,Cervical disc arthroplasty,"24,840.00","28,566.00"
22,1,965,Lumbar disc arthroplasty,"13,800.00","15,870.00"
22,1,966,Corpus callostomy for Epilepsy,"35,000.00","40,250.00"
22,1,967,Hemispherotomy for Epilepsy,"32,200.00","37,030.00"
22,1,968,Endoscopic CSF rhinorrhea repair,"30,000.00","34,500.00"
22,1,969,Burr hole evacuation of chronic subdural haematoma,"21,735.00","24,995.00"
22,1,970,Epilepsy surgery,"36,225.00","41,659.00"
23,1,971,Radiofrequency Ablation (RFA) for facet joint pain syndrome,"17,250.00","19,838.00"
23,1,972,Cervical laminoplasty,"28,800.00","33,120.00"
23,1,973,Lateral mass C1-C2 screw fixation,"23,000.00","26,450.00"
23,1,974,Microsurgical decompression for Trigeminal nerve,"38,000.00","43,700.00"
23,1,975,Microsurgical decompression for hemifacial spasm,"4,646.00","5,343.00"
23,1,976,Extracranial-Intracranial Bypass Procedures (EC-IC) bypass procedures,"32,000.00","36,800.00"
23,1,977,Image guided craniotomy,"28,980.00","33,327.00"
23,1,978,Baclofen pump implantation,"39,000.00","44,850.00"
23,1,979,Programmable Ventriculo-Peritoneal (VP) shunt,"25,000.00","28,750.00"
23,1,980,Endoscopic sympathectomy,"17,107.00","19,673.00"
23,1,981,Lumber puncture,207.00,238.00
23,1,982,External ventricular drainage (EVD),"4,600.00","5,290.00"
23,1,983,Endoscopic 3rd ventriculostomy,"36,000.00","41,400.00"
23,1,984,Endoscopic cranial surgery/Biopsy/aspiration,"31,536.00","36,266.00"
23,1,985,"Endoscopic discectomy (Lumbar, Cervical)","35,621.00","40,964.00"
23,1,986,Aneurysm coiling (Endovascular),"34,400.00","39,560.00"
23,1,987,Surgery for skull fractures,"36,000.00","41,400.00"
23,1,988,Carpel Tunnel decompression,"13,500.00","15,525.00"
23,1,989,Clipping of intracranial aneurysm,"24,150.00","27,773.00"
23,1,990,Surgery for intracranial Arteriovenous malformations(AVM),"40,000.00","46,000.00"
23,1,991,Foramen magnum decompression for Chari Malformation,"93,750.00","1,07,813.00"
23,1,992,Dorsal column stimulation for backache in failed back syndrome,"28,750.00","33,063.00"
23,1,993,Surgery for recurrent disc prolapse/epidural fibrosis,"32,000.00","36,800.00"
23,1,994,Surgery for brain stem tumours,"42,000.00","48,300.00"
23,1,995,Decompressive craniotomy for hemishpherical acute subdural haematoma/brain swelling/large infarct,"40,000.00","46,000.00"
23,1,996,Intra-arterial thrombolysis with Tissue Plasminogen Activator (TPA) (for ischemic stroke ),"4,600.00","5,290.00"
23,1,997,Steriotactic aspiration of intracerebral haematoma,"29,291.00","33,685.00"
23,1,998,Endoscopic aspiration of intracerebellar haematoma,"36,000.00","41,400.00"
23,1,999,Steriotactic Radiosurgery for brain pathology(X knife/Gamma ) - ONE session,"27,560.00","31,694.00"
23,1,1000,Steriotactic Radiosurgery for brain pathology(X knife /Gamma knife -Two or more sessions,"57,500.00","66,125.00"
23,1,1001,Chemotheraphy wafers for malignant brain tumors,"14,450.00","16,618.00"
23,1,1002,Battery Placement for Deep Brain Stimulation (DBS),"22,000.00","25,300.00"
23,1,1003,Baclofen pump implantation for spasticity,"17,330.00","19,930.00"
23,1,1004,Peripheral Nerve tumor surgery,"24,000.00","27,600.00"
23,1,1005,Surgery Intra Cranial Meningioma,"20,000.00","23,000.00"
23,1,1006,Surgery for Intracranial Schwannoma,"35,000.00","40,250.00"
23,1,1007,Surgery for Gliomas,"40,500.00","46,575.00"
23,1,1008,Surgery for Orbital tumors,"37,000.00","42,550.00"
23,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),,
23,1,1009,Surgery for Cranial (Skull) tumors,"34,650.00","39,848.00"
23,1,1010,Surgery for Scalp Arteriovenous Malformations (AVMs),"25,000.00","28,750.00"
24,1,1011,Kyphoplasty,"40,000.00","46,000.00"
24,1,1012,Balloon Kyphoplasty,"40,000.00","46,000.00"
24,1,1013,"Lesioning procedures for Parkinson’s disease, Dystonia etc.","35,000.00","40,250.00"
24,1,1014,Other Major Surgery,"42,500.00","48,875.00"
24,1,1015,Other Minor Surgery,"17,000.00","19,550.00"
24,1,,TREATMENT PROCEDURE PAEDIATRIC SURGERY,,
24,1,1016,Excision of thyroglossal Duct/Cyst,"16,000.00","18,400.00"
24,1,1017,Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),"17,250.00","19,838.00"
24,1,1018,Tracheo Oesophageal Fistula (Correction Surgery),"23,000.00","26,450.00"
24,1,1019,Colon Replacement of Oesophagus,"23,000.00","26,450.00"
24,1,1020,Omphalo Mesenteric Cyst Excision,"17,250.00","19,838.00"
24,1,1021,Omphalo Mesenteric Duct- Excision,"15,525.00","17,854.00"
24,1,1022,Meckels Diverticulectomy,"3,347.00","3,849.00"
24,1,1023,Omphalocele 1st Stage (Hernia Repair),"15,525.00","17,854.00"
24,1,1024,Omphalocele 2nd Stge (Hernia Repair),"17,000.00","19,550.00"
24,1,1025,Gastroschisis Repair,"16,100.00","18,515.00"
24,1,1026,Inguinal Herniotomy,"11,302.00","12,997.00"
24,1,1027,Congenital Hydrocele,"10,800.00","12,420.00"
24,1,1028,Hydrocele of Cord,"10,800.00","12,420.00"
24,1,1029,Torsion Testis Operation,"13,500.00","15,525.00"
24,1,1030,Congenital Pyloric Stenosis- operation,"13,938.00","16,029.00"
24,1,1031,Duodenal Atresia Operation,"14,000.00","16,100.00"
24,1,1032,Pancreatic Ring Operation,"22,425.00","25,789.00"
24,1,1033,Meconium Ileus Operation,"14,500.00","16,675.00"
24,1,1034,Malrotation of Intestines Operation,"13,000.00","14,950.00"
24,1,1035,Rectal Biopsy (Megacolon),"8,762.00","10,076.00"
24,1,1036,Colostomy Transverse,"15,000.00","17,250.00"
24,1,1037,Colostomy Left Iliac,"15,000.00","17,250.00"
24,1,1038,Abdominal Perineal Pull Through (Hirschsprung's Disease),"19,000.00","21,850.00"
24,1,1039,Imperforate Anus Low Anomaly -Cut Back Operation,"10,000.00","11,500.00"
24,1,1040,Imperforate Anus Low Anomaly - Perineal Anoplasty,"12,000.00","13,800.00"
24,1,1041,Imperforate Anus High Anomaly -Sacroabdomino Perineal Pull Through,"12,500.00","14,375.00"
24,1,1042,Imperforate Anus High Anomaly - Closure of Colostomy,"8,000.00 20,700.00","9,200.00"
24,1,1043,Intussusception Operation,,"23,805.00"
24,1,1044,Choledochoduodenostomy for Atresia of Extra Hepatic Billiary Duct,"15,000.00","17,250.00"
24,1,1045,Operation of Choledochal Cyst,"16,000.00","18,400.00"
24,1,1046,Nephrectomy for -Pyonephrosis,"17,000.00","19,550.00"
24,1,1047,Nephrectomy for - Hydronephrosis,"15,000.00","17,250.00"
24,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,
24,1,1048,Nephrectomy for -Wilms Tumour,"13,500.00","15,525.00"
24,1,1049,Paraortic Lymphadenoctomy with Nephrectomy for Wilms Tumour,"20,000.00","23,000.00"
24,1,1050,Sacro-Coccygeal Teratoma Excision,"14,000.00","16,100.00"
24,1,1051,Neuroblastoma Debulking,"16,000.00","18,400.00"
24,1,1052,Neuroblastoma Total Excision,"20,000.00","23,000.00"
25,1,1053,Rhabdomyosarcoma wide Excision,"15,000.00","17,250.00"
25,1,1054,Congenital Atresia & Stenosis of Small Intestine,"19,000.00","21,850.00"
25,1,1055,Muconium ileus,"16,000.00","18,400.00"
25,1,1056,Malrotation & Volvulus of the Midgut,"15,000.00","17,250.00"
25,1,1057,Excision of Meckel’s Deverticulum,"12,000.00","13,800.00"
25,1,1058,Other Major Surgery,"27,000.00","31,050.00"
25,1,1059,Other Minor Surgery,"11,050.00","12,708.00"
25,1,,TREATMENT PROCEDURE BURNS AND PLASTIC SURGERY,,
25,1,1060,Primary Suturing of Wound,300.00,345.00
25,1,1061,Injection of Keloids - Ganglion,989.00,"1,137.00"
25,1,1062,Injection of Keloids - Haemangioma,"1,035.00","1,190.00"
25,1,1063,Free Grafts - Wolfe Grafts,"1,725.00","1,984.00"
25,1,1064,Free Grafts - Thiersch- Small Area 5%,"7,475.00","8,596.00"
25,1,1065,Free Grafts - Large Area 10%,"8,000.00","9,200.00"
25,1,1066,Free Grafts - Very Large Area 20% and above.,"10,350.00","11,903.00"
25,1,1067,Skin Flaps - Rotation Flaps,"8,970.00","10,316.00"
25,1,1068,Skin Flaps - Advancement Flaps,"12,500.00","14,375.00"
25,1,1069,Skin Flaps - Direct- cross Leg Flaps- Cross Arm Flap,"12,500.00","14,375.00"
25,1,1070,Skin Flaps - Cross Finger,"12,500.00","14,375.00"
25,1,1071,Skin Flaps - Abdominal,"9,350.00","10,753.00"
25,1,1072,Skin Flaps - Thoracic,"9,350.00","10,753.00"
25,1,1073,Skin Flaps - Arm Etc.,"11,000.00","12,650.00"
25,1,1074,Subcutaneous Pedicle Flaps Raising,"6,900.00","7,935.00"
25,1,1075,Subcutaneous Pedicle Flaps Delay,"5,950.00","6,843.00"
25,1,1076,Subcutaneous Pedicle Flaps Transfer,"5,950.00","6,843.00"
25,1,1077,Cartilage Grafting,"8,625.00","9,919.00"
25,1,1078,Reduction of Facial Fractures of Nose,"1,380.00","1,587.00"
25,1,1079,Reduction of Facial Fractures of Maxilla,"8,000.00","9,200.00"
25,1,1080,Reduction of Fractures of Mandible & Maxilla - Eyelet Splinting,"7,475.00","8,596.00"
25,1,1081,Reduction of Fractures of Mandible & Maxilla - Cast Metal Splints,"6,900.00","7,935.00"
25,1,1082,Reduction of Fractures of Mandible & Maxilla - Gunning Splints,"7,500.00","8,625.00"
25,1,1083,Internal Wire Fixation of Mandible & Maxilla,"11,500.00","13,225.00"
25,1,1084,Cleft Lip - repair.,"11,500.00","13,225.00"
25,1,1085,Cleft Palate Repair,"12,650.00","14,548.00"
25,1,1086,Primary Bone Grafting for alveolar cleft in Cleft Lip,"11,500.00","13,225.00"
25,1,1087,Secondary Surgery for Cleft Lip Deformity,"10,000.00","11,500.00"
25,1,1088,Secondary Surgery for Cleft Palate,"12,000.00","13,800.00"
25,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,
25,1,1089,Reconstruction of Eyelid Defects - Minor,"6,325.00","7,274.00"
25,1,1090,Reconstruction of Eyelid Defects - Major,"7,650.00","8,798.00"
25,1,1091,Plastic Surgery of Different Regions of the Ear - Minor,"8,000.00","9,200.00"
25,1,1092,Plastic Surgery of Different Regions of the Ear - Major,"10,350.00","11,903.00"
25,1,1093,Plastic Surgery of the Nose - Minor,"8,050.00","9,258.00"
25,1,1094,Plastic Surgery of the Nose - Major,"9,500.00","10,925.00"
25,1,1095,Plastic Surgery for Facial Paralysis (Support with Reanimation),"16,100.00","18,515.00"
