source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
3,1,141,Argon/diode laser for retinal detatchment,"1,150.00","1,323.00"
3,1,142,Intralase application for keratoconus,"5,750.00","6,613.00"
3,1,143,EOG- electro-oculogram,900.00,"1,035.00"
4,1,144,ERG- Electro-retinogram,794.00,913.00
4,1,145,VEP- visually evoked potential,800.00,920.00
4,1,146,Vitrectomy- pars plana,"10,350.00","11,903.00"
4,1,147,Intravitreal injections- of antibiotics,"1,100.00","1,265.00"
4,1,148,Intravitreal injections- of Ranibizumab excluding cost of drug,"3,000.00","3,450.00"
4,1,149,X Ray orbit,115.00,132.00
4,1,150,CT orbit and brain,1600.00,1840.00
4,1,151,MRI- Orbit and brain,"3,450.00","3,968.00"
4,1,152,Dacryocystography,340.00,391.00
4,1,153,Orbital angio-graphical studies,"1,500.00","1,725.00"
4,1,154,Extracapsular cataract extraction (ECCE) with IOL,"3,450.00","3,968.00"
4,1,155,Small Incision Cataract Surgery (SICS) with IOL,"4,500.00","5,175.00"
4,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,"10,781.00","12,398.00"
4,1,157,Pars plana lensectomy with/without IOL,"10,350.00","11,903.00"
4,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,"6,210.00","7,142.00"
4,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),"12,150.00","13,973.00"
4,1,160,Optic nerve sheathotomy,"7,500.00","8,625.00"
4,1,161,Iridodialysis repair or papillary reconstruction,"4,500.00","5,175.00"
4,1,162,Iris cyst removal,850.00,978.00
4,1,163,Lid Abscess incision and Drainage,"1,700.00","1,955.00"
4,1,164,Orbital Abscess incision and Drainage,"3,000.00","3,450.00"
4,1,165,Biopsy,414.00,476.00
4,1,166,Paracentesis,230.00,265.00
4,1,167,Scleral graft for scleral melting or perforation,"2,800.00","3,220.00"
4,1,168,Amniotic membrane grafting,"1,100.00","1,265.00"
4,1,169,Cyclodiathermy,"2,300.00","2,645.00"
4,1,170,Intraocular foreign body removal,187.00,215.00
4,1,171,Electrolysis,230.00,265.00
4,1,172,Perforating injury repair,"4,500.00","5,175.00"
4,1,173,Botulinum injection for blepharospasm or squint,"2,500.00","2,875.00"
4,1,,TREATMENT PROCEDURE DENTAL PROCEDURES,,
4,1,174,Flap Operation per quadrant,324.00,373.00
4,1,175,Gingivectomy per quadrant,234.00,269.00
4,1,176,Reduction & immobilization of fracture- Maxilla Under LA,900.00,"1,035.00"
4,1,177,Reduction & immobilization of fracture-Mandible Under LA,"3,150.00","3,623.00"
4,1,178,Splints/Circummandibular wiring under LA,510.00,587.00
4,1,179,splints/Circummandibular wiring under GA,990.00,"1,139.00"
4,1,180,Internal wire fixation/plate fixation of Maxilla under LA,"2,800.00","3,220.00"
4,1,181,Internal wire fixation/plate fixation of Maxilla under GA,"4,000.00","4,600.00"
4,1,182,Internal wire fixation/plate fixation of Mandible under LA,"3,150.00","3,623.00"
4,1,183,Internal wire fixation/plate fixation of Mandible under GA,"3,825.00","4,399.00"
4,1,184,Extraction per tooth under LA,80.00,92.00
4,1,185,Complicated Extraction per Tooth under LA,100.00,115.00
4,1,186,Extraction of impacted tooth under LA,160.00,184.00
4,1,187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA,845.00,972.00
5,1,188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,240.00,276.00
5,1,189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms,365.00,420.00
5,1,190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms under GA,950.00,"1,093.00"
5,1,191,TM joint ankylosis- under GA,"6,750.00","7,763.00"
5,1,192,Biopsy Intraoral-Soft tissue,374.00,430.00
5,1,193,Biopsy Intraoral-Bone,374.00,430.00
5,1,194,Hemi-mandibulectomy with graft,"18,900.00","21,735.00"
5,1,195,Hemi-mandibulectomy without graft,"18,900.00","21,735.00"
5,1,196,Segmental-mandibulectomy with graft,"3,400.00","3,910.00"
5,1,197,Segmental-mandibulectomy without graft,990.00,"1,139.00"
5,1,198,Maxillectomy- Total with graft,"2,500.00","2,875.00"
5,1,199,Maxillectomy- Total without graft,"1,950.00","2,243.00"
5,1,200,Maxillectomy- partial with graft,"3,000.00","3,450.00"
5,1,201,Maxillectomy- partial without graft,"2,500.00","2,875.00"
5,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,"1,500.00","1,725.00"
5,1,203,Pre-prosthetic surgery- Alveoloplasty,500.00,575.00
5,1,204,Pre-prosthetic surgery - ridge augmentation,"1,200.00","1,380.00"
5,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500.00,575.00
5,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700.00,805.00
5,1,207,Apicoectomy- Single root,450.00,518.00
5,1,208,Apicoectomy-Multiple roots,585.00,673.00
5,1,209,Metal Crown-per unit,500.00,575.00
5,1,210,Metal Crown with Acrylic facing per unit,700.00,805.00
5,1,211,Complete single denture-metal based,"1,500.00","1,725.00"
5,1,212,Complete denture- acrylic based per arch,950.00,"1,093.00"
5,1,213,Removable partial denture-Metal based-upto 3 teeth,630.00,725.00
5,1,214,Removable partial denture-Metal based-more than 3 teeth,900.00,"1,035.00"
5,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500.00,575.00
5,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264.00,304.00
5,1,217,Amalgam restoration-per tooth,200.00,230.00
5,1,218,Composite Restoration-per tooth-anterior tooth,250.00,288.00
5,1,219,Glass Ionomer filling-per tooth,200.00,230.00
5,1,220,Scaling & polishing,300.00,345.00
5,1,221,Removable Orthodontics appliance- per Arch,700.00,805.00
5,1,222,Fixed Orthodontics-per Arch,"1,150.00","1,323.00"
5,1,223,Space maintainers-Fixed,500.00,575.00
5,1,224,Habit breaking appliances-removable,800.00,920.00
5,1,225,Habit breaking appliances-Fixed,"1,500.00","1,725.00"
5,1,226,Expansion plate,"1,000.00","1,150.00"
5,1,227,Feeding appliance for cleft palate,"1,350.00","1,553.00"
5,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),"3,150.00","3,623.00"
5,1,229,Functional orthodontic appliances,"2,700.00","3,105.00"
5,1,230,Obturator (Maxillo-facial),"1,500.00","1,725.00"
6,1,231,Occlusal night guard(splint),800.00,920.00
6,1,,TREATMENT PROCEDURE ENT,,
6,1,232,Pure Tone Audiogram,172.00,198.00
6,1,233,Impedence with stepedeal reflex,230.00,265.00
6,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,132.00,152.00
6,1,235,Multiple hearing assessment test to Adults,115.00,132.00
6,1,236,Speech Discrimination Score,90.00,104.00
6,1,237,Speech Assessment,120.00,138.00
6,1,238,Speech therapy per session of 30-40 minutes,131.00,151.00
6,1,239,Cold Calorie Test for Vestibular function,172.00,198.00
6,1,240,Removal of foreign body From Nose,345.00,397.00
6,1,241,Removal of foreign body From Ear,230.00,265.00
6,1,242,Syringing (Ear),166.00,191.00
6,1,243,Polyp removal under LA,575.00,661.00
6,1,244,Polyp removal under GA,850.00,978.00
6,1,245,Peritonsillar abscess Drainage under LA,"1,449.00","1,666.00"
6,1,246,Myringoplasty,"6,900.00","7,935.00"
6,1,247,Staepedectomy,"9,200.00","10,580.00"
6,1,248,Myringotomy with Grommet insertion,"4,600.00","5,290.00"
6,1,249,Tympanotomy,"7,763.00","8,927.00"
6,1,250,Tympanoplasty,"13,800.00","15,870.00"
6,1,251,Mastoidectomy,"14,950.00","17,193.00"
6,1,252,Otoplasty,"16,100.00","18,515.00"
6,1,253,Labyrinthectomy,"13,800.00","15,870.00"
6,1,254,Skull Base surgery,"25,000.00","28,750.00"
6,1,255,Facial Nerve Decompression,"15,525.00","17,854.00"
6,1,256,Septoplasty,"5,750.00","6,613.00"
6,1,257,Submucous Resection,"7,314.00","8,411.00"
6,1,258,Septo-rhinoplasty,"16,100.00","18,515.00"
6,1,259,Rhinoplasty- Non-cosmetic,"11,500.00","13,225.00"
6,1,260,Fracture Reduction of Nasal Bone,"4,250.00","4,888.00"
6,1,261,Intra nasal Diathermy,"1,150.00","1,323.00"
6,1,262,Turbinectomy,"5,750.00","6,613.00"
6,1,263,Endoscopic Dacryocystorhinostomy (DCR),"13,000.00","14,950.00"
6,1,264,Endoscopic Surgery,"13,800.00","15,870.00"
6,1,265,Septal Perforation Repair,"13,800.00","15,870.00"
6,1,266,Antrum Puncture,880.00,"1,012.00"
6,1,267,Lateral Rhinotomy,"1,000.00","1,150.00"
6,1,268,Cranio-facial resection,"25,500.00","29,325.00"
6,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),"10,626.00","12,220.00"
6,1,270,Angiofibroma Excision,"17,000.00","19,550.00"
6,1,271,Endoscopic Hypophysectomy,"21,500.00","24,725.00"
6,1,272,Endoscopic Optic Nerve Decompression,"29,498.00","33,923.00"
6,1,273,Decompression of Orbit,"25,500.00","29,325.00"
6,1,274,Punch/Wedge biopsy,674.00,775.00
6,1,275,Tonsillectomy,"5,000.00","5,750.00"
6,1,276,Uvulo-palatoplasty,"15,000.00","17,250.00"
6,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,"5,750.00","6,613.00"
6,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,"5,750.00","6,613.00"
6,1,279,Polyp removal ear,748.00,860.00
7,1,280,Polyp removal Nose(Septal polyp),748.00,860.00
7,1,281,"Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis)""","2,415.00","2,777.00"
7,1,282,Endolymphatic sac decompression,"2,875.00","3,306.00"
7,1,283,Diagnostic endoscopy under GA,"2,300.00","2,645.00"
7,1,284,Young's operation for Atrophic rhinitis,"6,900.00","7,935.00"
7,1,285,Vidian neurectomy for vasomotor Rhinitis,"10,350.00","11,903.00"
7,1,286,Nasal Packing-anterior,345.00,397.00
7,1,287,Nasal Packing-posterior,805.00,926.00
7,1,288,Ranula Excision,"6,159.00","7,083.00"
7,1,289,Tongue Tie excision,"1,350.00","1,553.00"
7,1,290,Sub Mandibular Duct Lithotomy,269.00,309.00
7,1,291,Adenoidectomy,"5,640.00","6,486.00"
7,1,292,Palatopharyngoplasty,"8,165.00","9,390.00"
7,1,293,Pharyngoplasty,"17,193.00","19,772.00"
7,1,294,Styloidectomy,"9,200.00","10,580.00"
7,1,295,Direct laryngoscopy including Biopsy under GA,"5,000.00","5,750.00"
7,1,296,Oesophagoscopy with foreign body removal from Oesophagus,"1,800.00","2,070.00"
7,1,297,Bronchoscopy with foreign body (FB) removal,"2,438.00","2,804.00"
7,1,298,Other Major Surgery,"15,000.00","17,250.00"
7,1,299,Other Minor Surgery,"8,500.00","9,775.00"
7,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
7,1,300,Ear Lobe Repair one side,500.00,575.00
7,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,"3,600.00","4,140.00"
7,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,"3,800.00","4,370.00"
7,1,303,Partial Amputation of Pinna,"4,500.00","5,175.00"
7,1,304,Total Amputation of Pinna,"6,200.00","7,130.00"
7,1,305,Total Amputation & Excision of External Auditory Meatus,"1,500.00","1,725.00"
7,1,306,Excision of Cystic Hygroma,"5,175.00","5,951.00"
7,1,307,Excision of Cystic Hygroma Extensive,"7,452.00","8,570.00"
7,1,308,Excision of Branchial Cyst,"10,350.00","11,903.00"
