source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
4,1,190,Cyst & tumour of Maxilla/mandible by enucleation / excision / marsupalisation size more than 4 cms under GA,1000,1150
4,1,191,TM joint ankylosis- under GA,6750,7763
4,1,192,Biopsy Intraoral-Soft tissue,374,430
4,1,193,Biopsy Intraoral-Bone,375,431
4,1,194,Hemi-mandibulectomy with graft,18900,21735
4,1,195,Hemi-mandibulectomy without graft,18900,21735
4,1,196,Segmental-mandibulectomy with graft,3400,3910
4,1,197,Segmental-mandibulectomy without graft,990,1139
4,1,198,Maxillectomy- Total with graft,2500,2875
4,1,199,Maxillectomy- Total without graft,1950,2243
4,1,200,Maxillectomy- partial with graft,3000,3450
4,1,201,Maxillectomy- partial without graft,2500,2875
4,1,202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
4,1,203,Pre-prosthetic surgery- Alveoloplasty,500,575
4,1,204,Pre-prosthetic surgery - ridge augmentation,1200,1380
4,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),500,575
4,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
4,1,207,Apicoectomy- Single root,500,575
4,1,208,Apicoectomy-Multiple roots,650,748
4,1,209,Metal Crown-per unit,500,575
4,1,210,Metal Crown with Acrylic facing per unit,700,805
4,1,211,Complete single denture-metal based,1500,1725
4,1,212,Complete denture- acrylic based per arch,950,1093
4,1,213,Removable partial denture-Metal based-upto 3 teeth,700,805
4,1,214,Removable partial denture-Metal based-more than 3 teeth,900,1035
5,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500,575
5,1,216,Removable partial denture-Acrylic based-more than 3 teeth,264,304
5,1,217,Amalgum restoration-per tooth,200,230
5,1,218,Composite Restoration-per tooth-anterior tooth,250,288
5,1,219,Glas Ionomer-per tooth,200,230
5,1,220,Scaling & polishing,300,345
5,1,221,Removable Orthodontics appliance- per Arch,700,805
5,1,222,Fixed Orhtodontics-per Arch,1150,1323
5,1,223,Space maintainers-Fixed,500,575
5,1,224,Habit breaking appliances-removable,800,920
5,1,225,Habit breaking appliances-Fixed,1500,1725
5,1,226,Expansion plate,1000,1150
5,1,227,Feeding appliance for cleft palate,1500,1725
5,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),3500,4025
5,1,229,Functional orthodentic appliances,3000,3450
5,1,230,Obturator (Maxillo-facial),1500,1725
5,1,231,Occlusal night guard(splint),800,920
5,1,,TREATMENT PROCEDURE ENT,,
5,1,232,Pure Tone Audiogram,172,198
5,1,233,Impedence with stepedeal reflex,230,265
5,1,234,SISI Tone Decay,132,152
5,1,235,Multiple hearing assessment test to Adults,115,132
5,1,236,Speech Discrimination Score,90,103
5,1,237,Speech Assessment,120,138
