Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
26,HOSP36G132866,Area Hospital - Kondapur,TELANGANA,RANGA REDDY,,,,9603366540,"M1,M7,M2,S1,S2,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S2, S4, S5, S6"
27,HOSP36G132867,Area Hospital - Golconda,TELANGANA,HYDERABAD,,,,8008553903,"M1,M7,M2,S1,S2,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S2, S3, S4, S5, S6"
28,HOSP36G132868,Area Hospital - Vanasthalipuram,TELANGANA,RANGA REDDY,,,,8008553919,"M1,S7,M2,S1,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, S7, M2, S1, S4, S5"
29,HOSP36G132869,Mahatma Gandhi Memorial Hospital,TELANGANA,WARANGAL URBAN,,,,9849903030,"M1,M2,S8,M1,M7,M1,S7,M2,M5,M6,S1,S10,S11,S12,S13,S15,S2,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M5, M6, S1, S10, S11, S12, S13, S15, S2, S5, S6, S9"
30,HOSP36G132870,Mn Area Hospital Hospital Apvvp,TELANGANA,HYDERABAD,,,,9000363708,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M8,S1,S10,S11,S12,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M8, S1, S10, S11, S12, S16, S2, S3, S4, S5, S6, S9"
31,HOSP36G132871,Rims  Hospital,TELANGANA,ADILABAD,,,,9701501055,"M1,M1,M7,M1,S7,M2,M3,M5,S1,S14,S16,S2,S3,S4,S5,S6,S7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, M3, M5, S1, S14, S16, S2, S3, S4, S5, S6"
32,HOSP36G132872,Govt Ent Hospital  - Koti,TELANGANA,HYDERABAD,,,,9885258130,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
33,HOSP36G132873,Area Hospital - Jagityal,TELANGANA,Jagitial,,,,9948221822,"M1,M7,M1,S7,M2,S1,S10,S11,S14,S2,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S10, S11, S14, S2, S4, S5, S6"
34,HOSP36G132874,Area Hospital - Kothagudem,TELANGANA,BHADRADRI KOTHAGUDEM,,,,8008553195,"M1,M7,M1,S7,M2,S1,S16,S2,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S16, S2, S4, S5, S6"
35,HOSP36G132875,Area Hospital - Badrachalam,TELANGANA,BHADRADRI KOTHAGUDEM,,,,9848076611,"M1,M7,M1,S7,M2,S1,S16,S2,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S16, S2, S4, S5, S6"
