S.No,City,AD City Name,City ID,Hospital Name,Accreditation,Tier Type,Address,Facilities,Raw JSON
38,Ahmedabad,Ahmedabad,10,HCG CANCER CENTER - AHMEDABAD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""HCG CANCER CENTER - AHMEDABAD"", ""tierType"": ""TIER 1""}"
39,Ahmedabad,Ahmedabad,10,HCG Cancer Centre Vadodara A Unit of HCG Oncology LLP,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""HCG Cancer Centre  Vadodara A Unit of HCG Oncology LLP"", ""tierType"": ""TIER 1""}"
40,Ahmedabad,Ahmedabad,10,HCG Hospitals AHMEDABAD,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""HCG Hospitals AHMEDABAD"", ""tierType"": ""TIER 1""}"
41,Ahmedabad,Ahmedabad,10,HCG Hospitals AHMEDABAD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""HCG Hospitals AHMEDABAD"", ""tierType"": ""TIER 1""}"
42,Ahmedabad,Ahmedabad,10,HCG Hospitals BHAVNAGAR,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""HCG Hospitals BHAVNAGAR"", ""tierType"": ""TIER 1""}"
43,Ahmedabad,Ahmedabad,10,Health 1 Super Speciality Hospital,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""Health 1 Super Speciality Hospital"", ""tierType"": ""TIER 1""}"
44,Ahmedabad,Ahmedabad,10,HEMATO ONCOLOGY CLINIC PVT. LTD.,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""HEMATO ONCOLOGY CLINIC PVT. LTD."", ""tierType"": ""TIER 1""}"
45,Ahmedabad,Ahmedabad,10,I CARE HOSPITAL AND PHACO CENTRE,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""I CARE HOSPITAL AND PHACO CENTRE"", ""tierType"": ""TIER 1""}"
46,Ahmedabad,Ahmedabad,10,I CARE HOSPITAL & PHACO CENTER,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""I CARE HOSPITAL & PHACO CENTER"", ""tierType"": ""TIER 1""}"
47,Ahmedabad,Ahmedabad,10,IKDRC ITS,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""IKDRC ITS"", ""tierType"": ""TIER 1""}"
