city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,[900 [Holmium VAG Core through intemal Urethrotomy | 1728000] 19383800,900 [Holmium VAG Core through intemal Urethrotomy | 1728000,,,19383800,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,"903 Retrograde Intrarenal Surgery (RIRS)/ Flexible 6,800.00 7,820.00)","903 Retrograde Intrarenal Surgery (RIRS)/ Flexible 6,800.00 7,820.00)",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,904 Microscopic Vaso-Epididymal Anastomosis (VEA)/,904 Microscopic Vaso-Epididymal Anastomosis (VEA)/,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,905 ‘Cystoscopic Botulinum Toxin Injection ( Over active,905 ‘Cystoscopic Botulinum Toxin Injection ( Over active,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,[906 — [Peyronie's disease — Plague excision with galing | 340000] 3.7000,906 — [Peyronie's disease — Plague excision with galing | 340000,,,3.7000,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,"4,600.00 5,290.00","4,600.00",,,5290.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,26,rate code 938 for approved rates),rate code 938 for approved rates),,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,27,945 ‘Combined Trans-oral Surgery & Craniovertebral (CV),945 ‘Combined Trans-oral Surgery & Craniovertebral (CV),,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,27,"959 Implantation of Deep Brain Stimulation (DBS) -One 34,500.00] 39,675.00]","959 Implantation of Deep Brain Stimulation (DBS) -One 34,500.00] 39,675.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,27,"Implantation of Deep Brain Stimulation (DBS) -two 40,250.00} 46,288.00","Implantation of Deep Brain Stimulation (DBS) -two 40,250.00}",,,46288.00,,,0.5,True
