source_page,extracted_table_index,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),Non- NABH/Non-(cid:10)NABL Rates,NABH/NABL Rates
4,1,198,Maxillectomy- Total with graft,2250,2587.5
4,1,199,Maxillectomy- Total without graft,1755,2018.7
4,1,200,Maxillectomy- partial with graft,2700,3105
4,1,201,Maxillectomy- partial without graft,2250,2587.5
4,1,202,Release of fibrous bands & grafting -in (OSMF) treatment(cid:10)under GA,1350,1552.5
4,1,203,Pre-prosthetic surgery- Alveoloplasty,450,517.5
4,1,204,Pre-prosthetic surgery - ridge augmentation,1080,1242
4,1,205,Root canal Treatment(RCT) Anterior teeth(per tooth),450,517.5
4,1,206,Root canal Treatment(RCT) Posterior teeth (per tooth),630,724.5
4,1,207,Apicoectomy- Single root,450,517.5
4,1,208,Apicoectomy-Multiple roots,585,673.2
4,1,209,Metal Crown-per unit,450,517.5
5,1,210,Metal Crown with Acrylic facing per unit,630,724.5
5,1,211,Complete single denture-metal based,1350,1552.5
5,1,212,Complete denture- acrylic based per arch,855,983.7
5,1,213,Removable partial denture-Metal based-upto 3 teeth,630,724.5
5,1,214,Removable partial denture-Metal based-more than 3 teeth,810,931.5
5,1,215,Removable partial denture-Acrylic based-upto 3 teeth,450,517.5
5,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,237.6,273.6
5,1,217,Amalgam restoration-per tooth,180,207
5,1,218,Composite Restoration-per tooth-anterior tooth,225,259.2
5,1,219,Glass Ionomer filling-per tooth,180,207
5,1,220,Scaling & polishing,270,310.5
5,1,221,Removable Orthodontics appliance- per Arch,630,724.5
5,1,222,Fixed Orthodontics-per Arch,1035,1190.7
5,1,223,Space maintainers-Fixed,450,517.5
5,1,224,Habit breaking appliances-removable,720,828
5,1,225,Habit breaking appliances-Fixed,1350,1552.5
5,1,226,Expansion plate,900,1035
5,1,227,Feeding appliance for cleft palate,1350,1552.5
5,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost(cid:10)part),3150,3622.5
5,1,229,Functional orthodontic appliances,2700,3105
5,1,230,Obturator (Maxillo-facial),1350,1552.5
5,1,231,Occlusal night guard(splint),720,828
5,1,,TREATMENT PROCEDURE ENT,,
5,1,232,Pure Tone Audiogram,154.8,178.2
5,1,233,Impedence with stepedeal reflex,207,238.5
5,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,118.8,136.8
5,1,235,Multiple hearing assessment test to Adults,103.5,118.8
5,1,236,Speech Discrimination Score,81,92.7
5,1,237,Speech Assessment,108,124.2
5,1,238,Speech therapy per session of 30-40 minutes,117.9,135.9
5,1,239,Cold Calorie Test for Vestibular function,154.8,178.2
5,1,240,Removal of foreign body From Nose,310.5,357.3
5,1,241,Removal of foreign body From Ear,207,238.5
5,1,242,Syringing (Ear),149.4,171.9
5,1,243,Polyp removal under LA,517.5,594.9
5,1,244,Polyp removal under GA,765,880.2
5,1,245,Peritonsillar abscess Drainage under LA,1304.1,1499.4
5,1,246,Myringoplasty,6210,7141.5
5,1,247,Staepedectomy,8280,9522
5,1,248,Myringotomy with Grommet insertion,4140,4761
5,1,249,Tympanotomy,7762.5,8927.1
5,1,250,Tympanoplasty,12420,14283
5,1,251,Mastoidectomy,13455,15473.7
5,1,252,Otoplasty,14490,16663.5
5,1,253,Labyrinthectomy,12420,14283
5,1,254,Skull Base surgery,22500,25875
5,1,255,Facial Nerve Decompression,15525,17854.2
5,1,256,Septoplasty,5175,5951.7
5,1,257,Submucous Resection,6582.6,7569.9
5,1,258,Septo-rhinoplasty,14490,16663.5
5,1,259,Rhinoplasty- Non-cosmetic,10350,11902.5
5,1,260,Fracture Reduction of Nasal Bone,3825,4500
5,1,261,Intra nasal Diathermy,1035,1190.7
6,1,262,Turbinectomy,5175,5951.7
6,1,263,Endoscopic Dacryocystorhinostomy (DCR),11700,13455
6,1,264,Endoscopic Surgery,12420,14283
6,1,265,Septal Perforation Repair,12420,14283
6,1,266,Antrum Puncture,855,983.7
6,1,267,Lateral Rhinotomy,900,1035
6,1,268,Cranio-facial resection,22950,26392.5
6,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),9563.4,10998
6,1,270,Angiofibroma Excision,15300,17595
6,1,271,Endoscopic Hypophysectomy,19350,22252.5
6,1,272,Endoscopic Optic Nerve Decompression,29497.5,33921.9
6,1,273,Decompression of Orbit,22950,26392.5
6,1,274,Punch/Wedge biopsy,606.6,697.5
6,1,275,Tonsillectomy,4500,5175
6,1,276,Uvulo-palatoplasty,13500,15525
6,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5175,5951.7
6,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5175,5951.7
6,1,279,Polyp removal ear,673.2,774
6,1,280,Polyp removal Nose(Septal polyp),673.2,774
6,1,281,Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replac,e2m17e3n.t5 Prosthesis) or PORP (Partia,l2 O49ss9i.c3ular Replacemen
6,1,282,Endolymphatic sac decompression,2587.5,2975.4
6,1,283,Diagnostic endoscopy under GA,2070,2380.5
6,1,284,Young's operation for Atrophic rhinitis,6210,7141.5
6,1,285,Vidian neurectomy for vasomotor Rhinitis,9315,10712.7
6,1,286,Nasal Packing-anterior,310.5,357.3
6,1,287,Nasal Packing-posterior,724.5,833.4
6,1,288,Ranula Excision,6158.7,7082.1
6,1,289,Tongue Tie excision,1350,1552.5
6,1,290,Sub Mandibular Duct Lithotomy,242.1,278.1
6,1,291,Adenoidectomy,5076,5837.4
6,1,292,Palatopharyngoplasty,7348.5,8451
6,1,293,Pharyngoplasty,15473.7,17794.8
6,1,294,Styloidectomy,8280,9522
6,1,295,Direct laryngoscopy including Biopsy under GA,4500,5175
6,1,296,Oesophagoscopy with foreign body removal from Oesophagus,1620,1863
6,1,297,Bronchoscopy with foreign body (FB) removal,2194.2,2523.6
6,1,298,Other Major Surgery,13500,15525
6,1,299,Other Minor Surgery,7650,9000
6,1,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),,
6,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
6,1,300,Ear Lobe Repair one side,450,517.5
6,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries)(cid:10)Skin Only,3600,4140
6,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries)(cid:10)Skin and Cartilage,3420,3933
6,1,303,Partial Amputation of Pinna,4050,4657.5
6,1,304,Total Amputation of Pinna,5580,6417
6,1,305,Total Amputation & Excision of External Auditory Meatus,1350,1552.5
6,1,306,Excision of Cystic Hygroma,4657.5,5355.9
6,1,307,Excision of Cystic Hygroma Extensive,6706.8,7713
6,1,308,Excision of Branchial Cyst,9315,10712.7
6,1,309,Excision of Branchial Sinus,9315,10712.7
6,1,310,Excision of Pharyngeal Diverticulum,9522,10950.3
6,1,311,Excision of Carotid Body-Tumours,10453.5,12021.3
6,1,312,Operation for Cervical Rib,11250,12937.5
6,1,313,Block Dissection of Cervical Lymph Nodes,13500,15525
7,1,314,Pharyngectomy & Reconstruction,13500,15525
7,1,315,Operation for Carcinoma Lip - Wedge-Excision,7245,8332.2
7,1,316,Operation for Carcinoma Lip - Vermilionectomy,5182.2,5959.8
7,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,8362.8,9617.4
7,1,318,Estlander Operation (Estlander flap in plastic surgey of lips),6727.5,7736.4
7,1,319,Abbe Operation (Abbe flap in plastic surgery of lips),8820,10143
7,1,320,Cheek Advancement,8797.5,10116.9
7,1,321,Excision of the Maxilla,17388,19996.2
7,1,322,Excision of mandible-segmental,13972.5,16068.6
7,1,323,Mandibulectomy,18900,21735
7,1,324,Partial Glossectomy,4968,5713.2
7,1,325,Hemiglossectomy,6300,7245
7,1,326,Total Glossectomy,20596.5,23686.2
7,1,327,Combined Mandibulectomy and Neck Dissection Operation (Commando Op,e1ra9t8io0n0),22770
7,1,328,Parotidectomy - Superficial,10867.5,12497.4
7,1,329,Parotidectomy - Total,13500,15525
7,1,330,Parotidectomy - Radical,17595,20234.7
7,1,331,Repair of Parotid Duct,10350,11902.5
7,1,332,Removal of Submandibular Salivary gland,7762.5,8927.1
7,1,333,Hemithyroidectomy,8550,9832.5
7,1,334,Partial Thyroidectomy (lobectomy),10350,11902.5
7,1,335,Subtotal Thyroidectomy,11747.7,13509.9
7,1,336,Total Thyroidectomy,17100,19665
7,1,337,Resection Enucleation of thyroid Adenoma,9522,10950.3
7,1,338,Total Thyroidectomy and Block Dissection,23805,27376.2
7,1,339,Excision of Lingual Thyroid,15193.8,17472.6
7,1,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),,
7,1,340,Excision of Thyroglossal Cyst/Fistula,11902.5,13688.1
7,1,341,Excision of Parathyroid Adenoma/Carcinoma,19147.5,22019.4
7,1,342,Laryngectomy,16042.5,18449.1
7,1,343,Laryngo Pharyngectomy,27000,31050
7,1,344,Hyoid Suspension,9315,10712.7
7,1,345,Genioplasty,10800,12420
7,1,346,Direct Laryngoscopy including biopsy under GA,4657.5,5355.9
7,1,347,Phonosurgery,12420,14283
7,1,348,Fibreoptic examination of Larynx (FOL) under LA,1552.5,1785.6
7,1,349,Microlaryngeal Surgery,9315,10712.7
7,1,350,Laryngofissure,15525,17854.2
7,1,351,Tracheal Stenosis Excision,17802,20472.3
7,1,,Head and neck cancer,,
7,1,352,Excisional Biopsies,5175,5951.7
7,1,353,Benign Tumour Excisions,8550,9832.5
7,1,354,Temporal Bone subtotal resection,18630,21424.5
7,1,355,Modified Radical Neck Dissection,22770,26185.5
7,1,356,Carotid Body Excision,23400,26910
7,1,357,Total Laryngectomy,35272.8,40563.9
7,1,358,Flap Reconstructive Surgery,37260,42849
7,1,359,Parapharyngeal Tumour Excision,35397,40707
7,1,360,Other Major Surgery,19125,22500
7,1,361,Other Minor Surgery,4500,5175
7,1,,TREATMENT PROCEDURE BREAST,,
7,1,362,Drainage of abscess,5400,6210
7,1,363,Excision of lumps,6272.1,7212.6
7,1,364,Local mastectomy-simple,11385,13093.2
8,1,365,Radical mastectomy-formal or modified.,25875,29756.7
8,1,366,Excision of mammary fistula,13972.5,16068.6
8,1,367,Segmental resection of breast,14490,16663.5
8,1,368,Other Major Surgery,22500,25875
8,1,369,Other Minor Surgery,4500,5175
8,1,,TREATMENT PROCEDURE GENERAL SURGERY,,
8,1,370,Injury Of Superficial Soft Tissues,382.5,450
8,1,371,Suturing of small wounds,242.1,278.1
8,1,372,Secondary suture of wounds,3400,4000
8,1,373,Debridement of wounds,405,466.2
8,1,374,Removal Of Foreign Bodies,270,310.5
8,1,,Biopsies,,
8,1,375,Excision of Cervical Lymph Node,1552.5,1785.6
8,1,376,Excision of Axillary Lymph Node,2049.3,2357.1
8,1,377,Excision of Inguinal Lymph Node,2049.3,2357.1
8,1,378,Excision Biopsy of Ulcers,1323,1521.9
8,1,379,Excision Biopsy of Superficial Lumps,2898,3332.7
8,1,380,Incision Biopsy of Growths/Ulcers,1323,1521.9
8,1,381,Trucut Needle Biopsy,1395,1604.7
8,1,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),,
8,1,382,Percutaneous Kidney Biopsy,1323,1521.9
8,1,383,Marrow Biopsy (Open),954,1097.1
8,1,384,Muscle Biopsy,1323,1521.9
8,1,385,Scalene Node Biopsy,1215,1397.7
8,1,386,Excision of Sebaceous Cysts,1117.8,1285.2
8,1,387,Excision of Superficial Lipoma,1738.8,1999.8
8,1,388,Excision of Superficial Neurofibroma,2250,2587.5
8,1,389,Excision of Dermoid Cysts,2049.3,2357.1
8,1,390,Haemorrhoidectomy,20720,24375
8,1,391,Stappler haemorrhoidectomy,38000,43700
8,1,392,keloid excision,1035,1190.7
8,1,393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,10000,11500
8,1,,TREATMENT PROCEDURE OESOPHAGUS,,
8,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,25875,29756.7
8,1,395,Operations for Replacement of Oesophagus by Colon,22500,25875
8,1,396,Oesophagectomy for Carcinoma Easophagus,22500,25875
8,1,397,Oesophageal Intubation (Mausseau Barbin Tube),10350,11902.5
8,1,398,Achalasia Cardia Transthoracic,13455,15473.7
8,1,399,Achalasia Cardia Abdominal,11385,13093.2
8,1,400,Oesophago Gastrectomy for mid 1/3 lesion,22045.5,25352.1
8,1,401,Heller’s Operation,17775,20441.7
8,1,402,Colon-Inter position or Replacement of Oesophagus,20286,23328.9
8,1,403,Oesophago Gastrectomy – Lower Corringers procedure,19251,22139.1
8,1,404,Other Major Surgery,24862.5,29250
8,1,405,Other Minor Surgery,4500,5175
8,1,,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,
8,1,406,Gastroscopy,1552.5,1785.6
8,1,407,Gastric & Duodenal Biopsy (Endoscopic),1755,2018.7
8,1,408,Pyloromyotomy,2520,2898
8,1,409,Gastrostomy,7762.5,8927.1
8,1,410,Simple Closure of Perforated peptic Ulcer,8797.5,10116.9
8,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,12420,14283
8,1,412,Duodenojejunostomy,17055,19613.7
8,1,413,Partial/Subtotal Gastrectomy for Carcinoma,20700,23805
9,1,414,Partial/Subtotal Gastrectomy for Ulcer,20182.5,23210.1
9,1,415,Operation for Bleeding Peptic Ulcer,18878.4,21709.8
9,1,416,Operation for Gastrojejunal Ulcer,17802,20472.3
9,1,417,Total Gastrectomy for Cancer,20131.2,23150.7
9,1,418,Highly Selective Vagotomy,16767,19282.5
9,1,419,Selective Vagotomy & Drainage,16767,19282.5
9,1,420,Congenital Diaphragmatic Hernia,17077.5,19638.9
9,1,421,Hiatus Hernia Repair- Abdominal,13041,14997.6
9,1,422,Hiatus Hernia Repair- Transthoracic,14490,16663.5
9,1,423,Exploratory Laparotomy,11385,13093.2
9,1,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),,
9,1,424,Epigastric Hernia Repair,10246.5,11783.7
9,1,425,Umbilical Hernia Repair,10246.5,11783.7
9,1,426,Ventral /incisional Hernia Repair,9263.7,10653.3
9,1,427,Inguinal Hernia Herniorrhaphy,13351.5,15354
9,1,428,Inguinal Hernia - Hernioplasty,14850,17077.5
9,1,429,Femoral Hernia Repair,16456.5,18925.2
9,1,430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",17077.5,19638.9
9,1,431,Splenectomy - For Trauma,17077.5,19638.9
9,1,432,Splenectomy - For Hypersplenism,13041,14997.6
9,1,433,Splenorenal Anastomosis,20700,23805
9,1,434,Portocaval Anastomosis,25875,29756.7
9,1,435,Direct Operation on Oesophagus for Portal Hypertension,20596.5,23686.2
9,1,436,Mesentericocaval Anastomosis,22905,26341.2
9,1,437,Warren Shunt (Distal Splenorenal Shunt),25875,29756.7
