scheme_code,hospital_id,hospital_name,aliases,state,district,city,address,hospital_type,empanelment_type,empanelment_status,specialities,source,last_updated
PMJAY,HOSP36P161286,SRI KRISHNASAI MULTI SPECIALITY HOSPITAL,SRI KRISHNASAI MULTI SPECIALITY HOSPITAL,TELANGANA,KARIMNAGAR,KARIMNAGAR,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161287,DEVENDAR REDDY SUPER SPECIALITY HOSPITAL,DEVENDAR REDDY SUPER SPECIALITY HOSPITAL,TELANGANA,Nirmal,Nirmal,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161288,PRK HOSPITALS,PRK HOSPITALS,TELANGANA,RANGA REDDY,RANGA REDDY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161296,WELLNESS HOSPITALS(A Unit of Swasth Medical Associates),WELLNESS HOSPITALS(A Unit of Swasth Medical Associates),TELANGANA,RANGA REDDY,RANGA REDDY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161300,Ravi Childrens Hospital,Ravi Childrens Hospital,TELANGANA,MAHABUBNAGAR,MAHABUBNAGAR,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161302,Adarsha Hospital,Adarsha Hospital,TELANGANA,KARIMNAGAR,KARIMNAGAR,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161304,HEALTHIFY HOSPITAL,HEALTHIFY HOSPITAL,TELANGANA,SURYAPET,SURYAPET,,Private(For Profit),PMJAY,active,"M1, M2, S8, M7, S7, M5, M8, S1, S10, S11, S12, S13, S15, S16, S2, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36P161305,KIRAN HOSPITAL,KIRAN HOSPITAL,TELANGANA,JAYASHANKAR BHUPALAPALLY,JAYASHANKAR BHUPALAPALLY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161307,SHANMUKHA VAISHNAVI HOSPITALS PVT LTD,SHANMUKHA VAISHNAVI HOSPITALS PVT LTD,TELANGANA,RANGA REDDY,RANGA REDDY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161308,SIRI SPECIALITY HOSPITAL,SIRI SPECIALITY HOSPITAL,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161309,NIKITHA HOSPITAL,NIKITHA HOSPITAL,TELANGANA,BHADRADRI KOTHAGUDEM,BHADRADRI KOTHAGUDEM,,Private(For Profit),PMJAY,active,"S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36P161310,TRR GENERAL HOSPITAL(A unit of St.Augustin Educational Society),TRR GENERAL HOSPITAL(A unit of St.Augustin Educational Society),TELANGANA,SANGAREDDY,SANGAREDDY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161356,CARE HOSPITALS MALAKPET,CARE HOSPITALS MALAKPET,TELANGANA,HYDERABAD,HYDERABAD,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161361,CMR HOSPITAL,CMR HOSPITAL,TELANGANA,MEDCHAL MALKAJGIRI,MEDCHAL MALKAJGIRI,,Private(For Profit),PMJAY,active,"M1, M2, S8, M7, S7, M3, M8, S1, S10, S11, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36P161362,DEVI PRIYA HOSPITAL,DEVI PRIYA HOSPITAL,TELANGANA,ADILABAD,ADILABAD,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161364,GLOBAL MAXX MULTI SPECIALITY HOSPITAL,GLOBAL MAXX MULTI SPECIALITY HOSPITAL,TELANGANA,KARIMNAGAR,KARIMNAGAR,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161365,Guru Nanak CARE Hospital,Guru Nanak CARE Hospital,TELANGANA,HYDERABAD,HYDERABAD,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161366,LEGEND HOSPITALS,LEGEND HOSPITALS,TELANGANA,RANGA REDDY,RANGA REDDY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
