source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL Rates
11,1,264,Endoscopic Surgery ENT,13800,15870
11,1,265,Septal Perforation Repair,13800,15870
12,1,266,Antrum Puncture,950,1093
12,1,267,Lateral Rhinotomy,1000,1150
12,1,268,Cranio-facial resection,25500,29325
12,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),10626,12220
12,1,270,Angiofibroma Excision,17000,19550
12,1,271,Endoscopic Hypophysectomy,525,604
12,1,272,Endoscopic Optic Nerve Decompression,32775,37691
12,1,273,Decompression of Orbit,25500,29325
12,1,274,Punch/Wedge biopsy,674,775
12,1,275,Tonsillectomy,5000,5750
12,1,276,Uvulo-palatoplasty,15000,17250
12,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
12,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
12,1,279,Polyp removal ear,748,860
12,1,280,Polyp removal Nose(Septal polyp),748,860
12,1,281,Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis),2415,2777
12,1,282,Endolymphatic sac decompression,2875,3306
12,1,283,Diagnostic endoscopy under GA,2300,2645
12,1,284,Young's operation for Atrophic rhinitis,6900,7935
12,1,285,Vidian neurectomy for vasomotor Rhinitis,10350,11903
12,1,286,Nasal Packing-anterior,345,397
12,1,287,Nasal Packing-posterior,805,926
12,1,288,Ranula Excision,6843,7869
12,1,289,Tongue Tie excision,1500,1725
13,1,290,Sub Mandibular Duct Lithotomy,269,309
13,1,291,Adenoidectomy,5640,6486
13,1,292,Palatopharyngoplasty,8165,9390
13,1,293,Pharyngoplasty,17193,19772
13,1,294,Styloidectomy,9200,10580
13,1,295,Direct laryngoscopy including Biopsy under GA,5000,5750
13,1,296,Oesophagoscopy with foreign body removal from Oesophagus,1800,2070
13,1,297,Bronchoscopy with foreign body (FB) removal,2438,2804
13,1,298,Other Major Surgery-ENT,15000,17250
13,1,299,Other Minor Surgery-ENT,8500,9775
13,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
13,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
13,1,300,Ear Lobe Repair one side,500,575
13,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,4000,4600
13,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,3800,4370
13,1,303,Partial Amputation of Pinna,4500,5175
13,1,304,Total Amputation of Pinna,6200,7130
13,1,305,Total Amputation & Excision of External Auditory Meatus,1500,1725
13,1,306,Excision of Cystic Hygroma,5175,5951
13,1,307,Excision of Cystic Hygroma Extensive,7452,8570
13,1,308,Excision of Branchial Cyst,10350,11903
13,1,309,Excision of Branchial Sinus,10350,11903
13,1,310,Excision of Pharyngeal Diverticulum,10580,12167
13,1,311,Excision of Carotid Body-Tumours,11615,13357
13,1,312,Operation for Cervical Rib,12500,14375
14,1,313,Block Dissection of Cervical Lymph Nodes,15000,17250
14,1,314,Pharyngectomy & Reconstruction,15000,17250
14,1,315,Operation for Carcinoma Lip - Wedge-Excision,8050,9258
14,1,316,Operation for Carcinoma Lip - Vermilionectomy,5758,6622
14,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,9292,10686
14,1,318,Estlander Operation (Estlander flap in plastic surgey of lips),7475,8596
14,1,319,Abbe Operation (Abbe flap in plastic surgery of lips),9800,11270
14,1,320,Cheek Advancement,9775,11241
14,1,321,Excision of the Maxilla,19320,22218
14,1,322,Excision of mandible-segmental,15525,17854
14,1,323,Mandibulectomy,21000,24150
14,1,324,Partial Glossectomy,5520,6348
14,1,325,Hemiglossectomy,7000,8050
14,1,326,Total Glossectomy,22885,26318
14,1,327,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation),22000,25300
14,1,328,Parotidectomy - Superficial,12075,13886
14,1,329,Parotidectomy - Total,15000,17250
14,1,330,Parotidectomy - Radical,19550,22483
14,1,331,Repair of Parotid Duct,11500,13225
14,1,332,Removal of Submandibular Salivary gland,8625,9919
14,1,333,Hemithyroidectomy,9500,10925
14,1,334,Partial Thyroidectomy (lobectomy),11500,13225
14,1,335,Subtotal Thyroidectomy,13053,15011
14,1,336,Total Thyroidectomy,19000,21850
14,1,337,Resection Enucleation of thyroid Adenoma,10580,12167
15,1,338,Total Thyroidectomy and Block Dissection,26450,30418
15,1,339,Excision of Lingual Thyroid,16882,19414
15,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
15,1,340,Excision of Thyroglossal Cyst/Fistula,13225,15209
15,1,341,Excision of Parathyroid Adenoma/Carcinoma,21275,24466
15,1,342,Laryngectomy,17825,20499
15,1,343,Laryngo Pharyngectomy,30000,34500
15,1,344,Hyoid Suspension,10350,11903
15,1,345,Genioplasty,12000,13800
15,1,346,Direct Laryngoscopy including biopsy under GA,5175,5951
15,1,347,Phonosurgery,13800,15870
15,1,348,Fibreoptic examination of Larynx (FOL) under LA,1725,1984
15,1,349,Microlaryngeal Surgery,10350,11903
15,1,350,Laryngofissure,17250,19838
15,1,351,Tracheal Stenosis Excision,19780,22747
15,1,Sr. No.,Head and neck cancer,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
15,1,352,Excisional Biopsies,5750,6613
15,1,353,Benign Tumour Excisions,9500,10925
15,1,354,Temporal Bone subtotal resection,20700,23805
15,1,355,Modified Radical Neck Dissection,25300,29095
15,1,356,Carotid Body Excision,26000,29900
15,1,357,Total Laryngectomy,39192,45071
15,1,358,Flap Reconstructive Surgery,41400,47610
15,1,359,Parapharyngeal Tumour Excision,39330,45230
15,1,360,Other Major Surgery-Head and Neck Cancer,21250,24438
16,1,361,Other Minor Surgery-Head and Neck Cancer,5000,5750
16,1,Sr. No.,TREATMENT PROCEDURE BREAST,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
16,1,362,Drainage of abscess,6000,6900
16,1,363,Excision of lumps,6969,8014
16,1,364,Local mastectomy-simple,12650,14548
16,1,365,Radical mastectomy-formal or modified.,28750,33063
16,1,366,Excision of mammary fistula,15525,17854
16,1,367,Segmental resection of breast,16100,18515
16,1,368,Other Major Surgery-Breast,25000,28750
16,1,369,Other Minor Surgery-Breast,5000,5750
16,1,,TREATMENT PROCEDURE GENERAL SURGERY,,
16,1,370,Injury Of Superficial Soft Tissues,425,489
16,1,371,Suturing of small wounds,1060,1250
16,1,372,Secondary suture of wounds,3400,4000
16,1,373,Debridement of wounds,1275,1500
16,1,374,Removal Of Foreign Bodies without C-ARM,1275,1500
16,1,,Biopsies,,
16,1,375,Excision of Cervical Lymph Node under LA,2635,3100
16,1,376,Excision of Axillary Lymph Node under GI Anaesthesia,6715,7900
16,1,377,Excision of Inguinal Lymph Node under LA,2550,3000
16,1,378,Excision Biopsy of Ulcers,1470,1691
16,1,379,Excision Biopsy of Superficial Lumps,3220,3703
16,1,380,Incision Biopsy of Growths/Ulcers,1470,1691
16,1,381,Trucut Needle Biopsy (Including needle),2975,3500
16,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
17,1,382,Percutaneous Kidney Biopsy,1470,1691
17,1,383,Marrow Biopsy (Open),1060,1219
17,1,384,Muscle Biopsy (See CGHS rate code 1724),1470,1691
17,1,385,Scalene Node Biopsy,1350,1553
17,1,386,Excision of Sebaceous Cysts,1242,1428
17,1,387,Excision of Superficial Lipoma,1932,2222
17,1,388,Excision of Superficial Neurofibroma,2500,2875
17,1,389,Excision of Dermoid Cysts,2277,2619
